# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
        32   -1.9555040137e+01    4.8881812045e-01    8.2319521446e+03    8.2320000000e+03    7.5000000000e-01   -1.9556677223e+01    9.9182385202e-01    1.0000000000e+00
        33   -1.9554383599e+01    5.2313501851e-01    8.2349043048e+03    8.2350000000e+03    2.5000000000e-01   -1.9560275433e+01    9.9246939637e-01    9.9963570128e-01
        34   -1.9554659066e+01    5.0027947012e-01    8.2359172863e+03    8.2360000000e+03    7.5000000000e-01   -1.9559740320e+01    9.9169317030e-01    9.9951432734e-01
        35   -1.9556023021e+01    4.9108688557e-01    8.2349240815e+03    8.2350000000e+03    2.5000000000e-01   -1.9559894362e+01    9.9126977838e-01    9.9963570128e-01
        36   -1.9554764213e+01    5.1686453092e-01    8.2339040975e+03    8.2340000000e+03    2.5000000000e-01   -1.9561136876e+01    9.9168305244e-01    9.9939276172e-01
        37   -1.9560454956e+01    5.0431654594e-01    8.2309668503e+03    8.2310000000e+03    7.5000000000e-01   -1.9559513659e+01    9.9110478765e-01    9.9987850808e-01
        38   -1.9563855541e+01    5.0138837394e-01    8.2319427808e+03    8.2320000000e+03    2.5000000000e-01   -1.9565325886e+01    9.9209351794e-01    9.9951409135e-01
        39   -1.9570064745e+01    5.0596661162e-01    8.2319698735e+03    8.2320000000e+03    5.0000000000e-01   -1.9568726471e+01    9.9239442033e-01    9.9939261419e-01
        40   -1.9571830105e+01    5.2366682472e-01    8.2309352649e+03    8.2310000000e+03    2.5000000000e-01   -1.9574814190e+01    9.9209909897e-01    9.9951403232e-01
        41   -1.9567532390e+01    5.9123824954e-01    8.2298851258e+03    8.2300000000e+03    5.0000000000e-01   -1.9576458052e+01    9.9041290776e-01    9.9975698663e-01
        42   -1.9570634112e+01    5.9139932037e-01    8.2319406242e+03    8.2320000000e+03    2.5000000000e-01   -1.9572403320e+01    9.8920253500e-01    9.9951409135e-01
        43   -1.9571560137e+01    5.0483149360e-01    8.2299268310e+03    8.2300000000e+03    7.5000000000e-01   -1.9575262058e+01    9.9036274834e-01    9.9963547995e-01
        44   -1.9575706432e+01    5.0491295050e-01    8.2339550636e+03    8.2340000000e+03    5.0000000000e-01   -1.9576673992e+01    9.9289873675e-01    9.9951420938e-01
        45   -1.9584146294e+01    5.1687946354e-01    8.2329943414e+03    8.2330000000e+03    5.0000000000e-01   -1.9580698832e+01    9.9024782940e-01    9.9951415037e-01
        46   -1.9584764408e+01    5.4071467243e-01    8.2329279934e+03    8.2330000000e+03    2.5000000000e-01   -1.9589138694e+01    9.9270365179e-01    9.9963561278e-01
        47   -1.9587826106e+01    5.1367855814e-01    8.2359395381e+03    8.2360000000e+03    7.5000000000e-01   -1.9590121129e+01    9.9090312889e-01    9.9963574551e-01
        48   -1.9585005221e+01    4.8767367492e-01    8.2378911809e+03    8.2380000000e+03    7.5000000000e-01   -1.9593425634e+01    9.9207814211e-01    9.9963583394e-01
        49   -1.9588508694e+01    4.5739897475e-01    8.2359382031e+03    8.2360000000e+03    0.0000000000e+00   -1.9590361942e+01    9.9204951355e-01    9.9927149102e-01
        50   -1.9600150270e+01    4.5730645675e-01    8.2380048948e+03    8.2380000000e+03    2.5000000000e-01   -1.9594108221e+01    9.9075926803e-01    9.9975722263e-01
        51   -1.9600507833e+01    4.7709924758e-01    8.2429008512e+03    8.2430000000e+03    5.0000000000e-01   -1.9606356557e+01    9.9177404590e-01    9.9975736989e-01
        52   -1.9606277780e+01    5.1179700026e-01    8.2449410955e+03    8.2450000000e+03    2.5000000000e-01   -1.9606956720e+01    9.9321083137e-01    9.9915100061e-01
        53   -1.9606784029e+01    5.3577064909e-01    8.2389086360e+03    8.2390000000e+03    7.5000000000e-01   -1.9611998689e+01    9.8976449165e-01    9.9963587814e-01
        54   -1.9610709612e+01    5.0434025715e-01    8.2399324694e+03    8.2400000000e+03    7.5000000000e-01   -1.9612626304e+01    9.9280351133e-01    9.9975728155e-01
        55   -1.9613148419e+01    5.0150076487e-01    8.2409189683e+03    8.2410000000e+03    5.0000000000e-01   -1.9616673240e+01    9.9217179925e-01    9.9963596651e-01
        56   -1.9614701286e+01    4.7992751921e-01    8.2439084842e+03    8.2440000000e+03    7.5000000000e-01   -1.9619476013e+01    9.9237738954e-01    1.0000000000e+00
        57   -1.9615829229e+01    4.7435538478e-01    8.2508929191e+03    8.2510000000e+03    1.2500000000e+00   -1.9621877622e+01    9.9257304451e-01    9.9951521028e-01
        58   -1.9620917203e+01    5.2368586313e-01    8.2499234948e+03    8.2500000000e+03    0.0000000000e+00   -1.9622884361e+01    9.9121868669e-01    9.9975757576e-01
        59   -1.9624776034e+01    4.7331024118e-01    8.2519104704e+03    8.2520000000e+03    2.5000000000e-01   -1.9628214729e+01    9.9350777432e-01    9.9963645177e-01
        60   -1.9625008802e+01    4.9349108175e-01    8.2558730262e+03    8.2560000000e+03    2.5000000000e-01   -1.9632558175e+01    9.9336293794e-01    9.9951550388e-01
        61   -1.9628797129e+01    5.3137793825e-01    8.2549118631e+03    8.2550000000e+03    2.5000000000e-01   -1.9632669811e+01    9.9242872759e-01    9.9878861296e-01
        62   -1.9626556283e+01    5.1003651207e-01    8.2518775403e+03    8.2520000000e+03    5.0000000000e-01   -1.9636094656e+01    9.9017008738e-01    9.9927290354e-01
        63   -1.9631015419e+01    5.6823322598e-01    8.2539184594e+03    8.2540000000e+03    7.5000000000e-01   -1.9634096146e+01    9.9163788742e-01    9.9903077296e-01
        64   -1.9636689984e+01    4.6446029965e-01    8.2539430219e+03    8.2540000000e+03    7.5000000000e-01   -1.9638555282e+01    9.9213160081e-01    9.9951538648e-01
