#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9661111089e+01    3.8666214847e+02   -3.9514791274e+01    1.9853680184e+01    2.7407852629e+01    1.2053075198e+01   -8.0362157109e+01    1.3864380085e+00    1.6447400000e+05    2.3949437737e+00    9.9100545906e-01
         1   -1.9558208341e+01    3.8305189497e+02   -4.0484268089e+01    2.0926059748e+01    2.7492632090e+01    1.2053075198e+01   -8.2978091889e+01    2.9481165115e+00    1.6465200000e+05    2.3768077493e+00    9.9161264154e-01
         2   -1.9595002117e+01    3.8447276609e+02   -4.0859516643e+01    2.1264514526e+01    2.7218248896e+01    1.2053075198e+01   -8.3559055273e+01    3.4282145360e+00    1.6480100000e+05    2.7209307551e+00    9.9202550840e-01
         3   -1.9657092437e+01    3.8689808371e+02   -4.0791838134e+01    2.1134745696e+01    2.6947409939e+01    1.2053075198e+01   -8.3468772169e+01    3.6764488973e+00    1.6511200000e+05    2.6447336674e+00    9.9211471263e-01
         4   -1.9715008831e+01    3.8920663616e+02   -4.0568959280e+01    2.0853950449e+01    2.6672681992e+01    1.2053075198e+01   -8.3067012298e+01    3.7722958281e+00    1.6495100000e+05    2.2852069736e+00    9.9233713669e-01
         5   -1.9749137594e+01    3.9051611353e+02   -4.0137158859e+01    2.0388021265e+01    2.6424696842e+01    1.2053075198e+01   -8.2366189322e+01    3.7512584219e+00    1.6480900000e+05    2.2619202733e+00    9.9270725168e-01
         6   -1.9787525564e+01    3.9203895066e+02   -3.9738122536e+01    1.9950596972e+01    2.6190498754e+01    1.2053075198e+01   -8.1737261767e+01    3.7555652787e+00    1.6490400000e+05    2.2426596880e+00    9.9260122951e-01
         7   -1.9816067090e+01    3.9318278573e+02   -3.9284063018e+01    1.9467995927e+01    2.5964571694e+01    1.2053075198e+01   -8.0991519708e+01    3.6898097980e+00    1.6505700000e+05    2.2103165388e+00    9.9297174000e-01
         8   -1.9835163995e+01    3.9388891535e+02   -3.8892220887e+01    1.9057056891e+01    2.5768555116e+01    1.2053075198e+01   -8.0355086718e+01    3.6412355169e+00    1.6510300000e+05    2.1958442926e+00    9.9336150342e-01
         9   -1.9848646895e+01    3.9440706102e+02   -3.8545205031e+01    1.8696558136e+01    2.5600707513e+01    1.2053075198e+01   -7.9737785473e+01    3.5387977300e+00    1.6498400000e+05    2.1814887524e+00    9.9366089626e-01
        10   -1.9855573830e+01    3.9468752792e+02   -3.8190416302e+01    1.8334842472e+01    2.5436670110e+01    1.2053075198e+01   -7.9200310636e+01    3.5201490256e+00    1.6484700000e+05    2.1603442430e+00    9.9369718340e-01
        11   -1.9858447392e+01    3.9477067420e+02   -3.7881960317e+01    1.8023512925e+01    2.5286222806e+01    1.2053075198e+01   -7.8692568027e+01    3.4713097055e+00    1.6483000000e+05    2.1413516998e+00    9.9355653245e-01
        12   -1.9866878382e+01    3.9510669132e+02   -3.7661405576e+01    1.7794527195e+01    2.5154587705e+01    1.2053075198e+01   -7.8350921430e+01    3.4818529510e+00    1.6494900000e+05    2.1402264833e+00    9.9405245622e-01
        13   -1.9885205772e+01    3.9583246672e+02   -3.7411616118e+01    1.7526410346e+01    2.5031219099e+01    1.2053075198e+01   -7.7935640020e+01    3.4397296045e+00    1.6507600000e+05    2.1219440699e+00    9.9372454038e-01
        14   -1.9892489833e+01    3.9611297795e+02   -3.7166876178e+01    1.7274386344e+01    2.4900604247e+01    1.2053075198e+01   -7.7436334963e+01    3.3157793404e+00    1.6473500000e+05    2.1045987606e+00    9.9412974886e-01
        15   -1.9895916180e+01    3.9625873334e+02   -3.6950194880e+01    1.7054278701e+01    2.4766650760e+01    1.2053075198e+01   -7.6998953527e+01    3.2290326879e+00    1.6480500000e+05    2.1376332641e+00    9.9405370323e-01
        16   -1.9900532041e+01    3.9642728650e+02   -3.6758860864e+01    1.6858328823e+01    2.4651493296e+01    1.2053075198e+01   -7.6628752792e+01    3.1653234336e+00    1.6470700000e+05    2.0776555538e+00    9.9445702289e-01
        17   -1.9903580154e+01    3.9653119285e+02   -3.6603549395e+01    1.6699969241e+01    2.4553951520e+01    1.2053075198e+01   -7.6361861474e+01    3.1512853602e+00    1.6461000000e+05    2.0745091438e+00    9.9435624590e-01
        18   -1.9922275065e+01    3.9731980411e+02   -3.6545430775e+01    1.6623155710e+01    2.4443735979e+01    1.2053075198e+01   -7.6058288269e+01    3.0160463166e+00    1.6491300000e+05    2.0809029341e+00    9.9446945810e-01
        19   -1.9920815695e+01    3.9729210597e+02   -3.6367182624e+01    1.6446366928e+01    2.4377245311e+01    1.2053075198e+01   -7.5858755318e+01    3.0612521851e+00    1.6502400000e+05    2.0753943324e+00    9.9450947926e-01
        20   -1.9919371600e+01    3.9719832603e+02   -3.6188458376e+01    1.6269086776e+01    2.4299658154e+01    1.2053075198e+01   -7.5624359492e+01    3.0831677637e+00    1.6501400000e+05    2.0772787333e+00    9.9494596804e-01
        21   -1.9919461579e+01    3.9719061834e+02   -3.6056837012e+01    1.6137375432e+01    2.4226560249e+01    1.2053075198e+01   -7.5443345074e+01    3.1068726154e+00    1.6528500000e+05    2.0622312427e+00    9.9477801916e-01
        22   -1.9924056567e+01    3.9734445715e+02   -3.5895059779e+01    1.5971003211e+01    2.4162101260e+01    1.2053075198e+01   -7.5211561976e+01    3.1013257390e+00    1.6565700000e+05    2.0714458227e+00    9.9433712604e-01
        23   -1.9919486076e+01    3.9715874533e+02   -3.5791331708e+01    1.5871845632e+01    2.4099701781e+01    1.2053075198e+01   -7.5017263051e+01    3.0731543639e+00    1.6568700000e+05    2.0624049902e+00    9.9486434389e-01
        24   -1.9918974198e+01    3.9714871517e+02   -3.5728260145e+01    1.5809285947e+01    2.4037029209e+01    1.2053075198e+01   -7.4880096533e+01    3.0617319807e+00    1.6527100000e+05    2.0437772274e+00    9.9481505677e-01
        25   -1.9914736538e+01    3.9694370175e+02   -3.5592260809e+01    1.5677524271e+01    2.3993048726e+01    1.2053075198e+01   -7.4723474716e+01    3.0850899831e+00    1.6527700000e+05    2.0457984805e+00    9.9506279351e-01
        26   -1.9916754129e+01    3.9706585701e+02   -3.5552019242e+01    1.5635265113e+01    2.3924603162e+01    1.2053075198e+01   -7.4617263379e+01    3.0875657772e+00    1.6524500000e+05    1.9670608044e+00    9.9488639443e-01
