#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9666531650e+01    3.8677246898e+02   -4.0354886039e+01    2.0688354389e+01    2.8247144624e+01    1.2053075198e+01   -8.1560054928e+01    9.0494906670e-01    3.2000000000e+02    7.9155713320e-04    0.0000000000e+00
         1   -1.9666531650e+01    3.8677246898e+02   -4.0354886039e+01    2.0688354389e+01    2.8247144624e+01    1.2053075198e+01   -8.1560054928e+01    9.0494906670e-01    3.2000000000e+02    7.8313797712e-04    0.0000000000e+00
         2   -1.9666531650e+01    3.8677246898e+02   -4.0354886039e+01    2.0688354389e+01    2.8247144624e+01    1.2053075198e+01   -8.1560054928e+01    9.0494906670e-01    3.2000000000e+02    7.8114122152e-04    0.0000000000e+00
         3   -1.9666531650e+01    3.8677246898e+02   -4.0354886039e+01    2.0688354389e+01    2.8247144624e+01    1.2053075198e+01   -8.1560054928e+01    9.0494906670e-01    3.2000000000e+02    7.8160315752e-04    0.0000000000e+00
         4   -1.9666531650e+01    3.8677246898e+02   -4.0354886039e+01    2.0688354389e+01    2.8247144624e+01    1.2053075198e+01   -8.1560054928e+01    9.0494906670e-01    3.2000000000e+02    7.8062713146e-04    0.0000000000e+00
         5   -1.9666531650e+01    3.8677246898e+02   -4.0354886039e+01    2.0688354389e+01    2.8247144624e+01    1.2053075198e+01   -8.1560054928e+01    9.0494906670e-01    3.2000000000e+02    7.8170001507e-04    0.0000000000e+00
         6   -1.9666531650e+01    3.8677246898e+02   -4.0354886039e+01    2.0688354389e+01    2.8247144624e+01    1.2053075198e+01   -8.1560054928e+01    9.0494906670e-01    3.2000000000e+02    7.7851116657e-04    0.0000000000e+00
         7   -1.9666531650e+01    3.8677246898e+02   -4.0354886039e+01    2.0688354389e+01    2.8247144624e+01    1.2053075198e+01   -8.1560054928e+01    9.0494906670e-01    3.2000000000e+02    7.8168511391e-04    0.0000000000e+00
         8   -1.9666531650e+01    3.8677246898e+02   -4.0354886039e+01    2.0688354389e+01    2.8247144624e+01    1.2053075198e+01   -8.1560054928e+01    9.0494906670e-01    3.2000000000e+02    7.8030675650e-04    0.0000000000e+00
         9   -1.9666531650e+01    3.8677246898e+02   -4.0354886039e+01    2.0688354389e+01    2.8247144624e+01    1.2053075198e+01   -8.1560054928e+01    9.0494906670e-01    3.2000000000e+02    7.8091025352e-04    0.0000000000e+00
        10   -1.9671111352e+01    3.8695355307e+02   -4.0236680804e+01    2.0565569453e+01    2.8107016158e+01    1.2053075198e+01   -8.1320041167e+01    9.2326900613e-01    3.2000000000e+02    7.8797340393e-04    3.1250000000e-03
        11   -1.9673074081e+01    3.8703116053e+02   -4.0186021418e+01    2.0512947337e+01    2.8046961101e+01    1.2053075198e+01   -8.1217178127e+01    9.3112040874e-01    3.2000000000e+02    7.8108161688e-04    0.0000000000e+00
        12   -1.9677797418e+01    3.8721873240e+02   -4.0078065709e+01    2.0400268290e+01    2.8009608814e+01    1.2053075198e+01   -8.1083483866e+01    9.4273414561e-01    3.2000000000e+02    7.8747421503e-04    3.1250000000e-03
        13   -1.9664326878e+01    3.8669803171e+02   -4.0163657831e+01    2.0499330953e+01    2.7959725746e+01    1.2053075198e+01   -8.1207526840e+01    1.0310680661e+00    3.2000000000e+02    7.8737735748e-04    3.1250000000e-03
        14   -1.9662042928e+01    3.8660891410e+02   -4.0191160685e+01    2.0529117756e+01    2.7960408564e+01    1.2053075198e+01   -8.1243591770e+01    1.0389473234e+00    3.2000000000e+02    7.8069418669e-04    0.0000000000e+00
        15   -1.9662042928e+01    3.8660891410e+02   -4.0191160685e+01    2.0529117756e+01    2.7960408564e+01    1.2053075198e+01   -8.1243591770e+01    1.0389473234e+00    3.2000000000e+02    7.8175961971e-04    0.0000000000e+00
        16   -1.9662042928e+01    3.8660891410e+02   -4.0191160685e+01    2.0529117756e+01    2.7960408564e+01    1.2053075198e+01   -8.1243591770e+01    1.0389473234e+00    3.2000000000e+02    7.8051537275e-04    0.0000000000e+00
        17   -1.9663184629e+01    3.8665396120e+02   -4.0133997267e+01    2.0470812637e+01    2.7895082044e+01    1.2053075198e+01   -8.1141920407e+01    1.0597658976e+00    3.2000000000e+02    7.8976899385e-04    3.1250000000e-03
