#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -3.6408648821e+02    1.3257153139e+05   -6.3813250319e+02    2.7404601498e+02   -1.2091640014e+01   -2.7083095150e+02   -3.9658973955e+02    4.1379827863e+01    2.4960000000e+04    5.4520801049e-01    3.1944238907e-01
         1   -3.6412272684e+02    1.3259822912e+05   -6.3801465243e+02    2.7389192559e+02   -1.2120575997e+01   -2.7083095150e+02   -3.9640253288e+02    4.1339407936e+01    2.4960000000e+04    5.4528539824e-01    3.1971075596e-01
         2   -3.6414634195e+02    1.3261509383e+05   -6.3778807906e+02    2.7364173710e+02   -1.2060969515e+01   -2.7083095150e+02   -3.9635659842e+02    4.1460440376e+01    2.4960000000e+04    5.4537475224e-01    3.1958020333e-01
         3   -3.6406112198e+02    1.3255325774e+05   -6.3827791391e+02    2.7421679193e+02   -1.2063446378e+01   -2.7083095150e+02   -3.9689233395e+02    4.1508817912e+01    2.4960000000e+04    5.4547511869e-01    3.1962893755e-01
         4   -3.6407011887e+02    1.3255961769e+05   -6.3840417866e+02    2.7433405979e+02   -1.2051290730e+01   -2.7083095150e+02   -3.9681746242e+02    4.1295525987e+01    2.4960000000e+04    5.4557870880e-01    3.1975560897e-01
         5   -3.6407967404e+02    1.3256683811e+05   -6.3821187154e+02    2.7413219750e+02   -1.2097834293e+01   -2.7083095150e+02   -3.9676493983e+02    4.1481854080e+01    2.4960000000e+04    5.4555345687e-01    3.1955838717e-01
         6   -3.6411154538e+02    1.3258972562e+05   -6.3796470078e+02    2.7385315541e+02   -1.2126937117e+01   -2.7083095150e+02   -3.9643088054e+02    4.1424068367e+01    2.4960000000e+04    5.4561558187e-01    3.1972421499e-01
         7   -3.6410572256e+02    1.3258531989e+05   -6.3797922137e+02    2.7387349880e+02   -1.2013205030e+01   -2.7083095150e+02   -3.9649208802e+02    4.1357023177e+01    2.4960000000e+04    5.4554284803e-01    3.1961889022e-01
         8   -3.6408900516e+02    1.3257358829e+05   -6.3791457826e+02    2.7382557310e+02   -1.2136314204e+01   -2.7083095150e+02   -3.9641685778e+02    4.1469545215e+01    2.4960000000e+04    5.4558434036e-01    3.1945331280e-01
         9   -3.6414522658e+02    1.3261433111e+05   -6.3788583893e+02    2.7374061234e+02   -1.2056944254e+01   -2.7083095150e+02   -3.9630044557e+02    4.1302502393e+01    2.4960000000e+04    5.4568917758e-01    3.1964605869e-01
        10   -3.6409440155e+02    1.3257746058e+05   -6.3801582041e+02    2.7392141886e+02   -1.2097577212e+01   -2.7083095150e+02   -3.9637692056e+02    4.1289628859e+01    2.4960000000e+04    5.4569144199e-01    3.1978775416e-01
        11   -3.6409882138e+02    1.3258049654e+05   -6.3800283254e+02    2.7390401116e+02   -1.2130289915e+01   -2.7083095150e+02   -3.9628671615e+02    4.1245125022e+01    2.4960000000e+04    5.4564061452e-01    3.1958355243e-01
        12   -3.6410018124e+02    1.3258148967e+05   -6.3809989306e+02    2.7399971181e+02   -1.2153716068e+01   -2.7083095150e+02   -3.9652321114e+02    4.1407985641e+01    2.4960000000e+04    5.4567818323e-01    3.1960571289e-01
        13   -3.6407081698e+02    1.3256018926e+05   -6.3816947132e+02    2.7409865435e+02   -1.2122221591e+01   -2.7083095150e+02   -3.9648349452e+02    4.1267196283e+01    2.4960000000e+04    5.4563559403e-01    3.1963648087e-01
        14   -3.6412316932e+02    1.3259833443e+05   -6.3824707349e+02    2.7412390418e+02   -1.2076890945e+01   -2.7083095150e+02   -3.9678522736e+02    4.1445996312e+01    2.4960000000e+04    5.4567860823e-01    3.1968214769e-01
        15   -3.6412861058e+02    1.3260228612e+05   -6.3841787972e+02    2.7428926914e+02   -1.2064332645e+01   -2.7083095150e+02   -3.9696699565e+02    4.1444400063e+01    2.4960000000e+04    5.4566004874e-01    3.1961785732e-01
        16   -3.6410715474e+02    1.3258649052e+05   -6.3849920401e+02    2.7439204927e+02   -1.2084904313e+01   -2.7083095150e+02   -3.9676786462e+02    4.1184516422e+01    2.4960000000e+04    5.4578503488e-01    3.1963075295e-01
        17   -3.6412884717e+02    1.3260253118e+05   -6.3805032625e+02    2.7392147908e+02   -1.2206319707e+01   -2.7083095150e+02   -3.9625721723e+02    4.1244162177e+01    2.4960000000e+04    5.4559157227e-01    3.1968427609e-01
        18   -3.6406880830e+02    1.3255861936e+05   -6.3818322638e+02    2.7411441808e+02   -1.2207011513e+01   -2.7083095150e+02   -3.9651112919e+02    4.1365865819e+01    2.4960000000e+04    5.4571052008e-01    3.1975050706e-01
        19   -3.6407518170e+02    1.3256326751e+05   -6.3799058568e+02    2.7391540398e+02   -1.2060378339e+01   -2.7083095150e+02   -3.9652407152e+02    4.1424815673e+01    2.4960000000e+04    5.4555710325e-01    3.1979802058e-01
