# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
        32   -3.6499136712e+02    1.2742255538e+01    2.1642685849e+05    2.1675700000e+05    9.9423076923e-01   -3.6506632184e+02    9.8480522074e-01    9.7526723474e-01
        33   -3.6500237207e+02    1.2702281550e+01    2.1618105157e+05    2.1649700000e+05    9.9487179487e-01   -3.6507222773e+02    9.8483235283e-01    9.7548233925e-01
        34   -3.6500447538e+02    1.2651928667e+01    2.1579645323e+05    2.1613200000e+05    1.0083333333e+00   -3.6508154532e+02    9.8486068010e-01    9.7544556105e-01
        35   -3.6500050758e+02    1.2797731596e+01    2.1544076999e+05    2.1578600000e+05    1.0262820513e+00   -3.6508204647e+02    9.8481613738e-01    9.7533204193e-01
        36   -3.6502265419e+02    1.2793004564e+01    2.1514533846e+05    2.1542700000e+05    1.0243589744e+00   -3.6507641360e+02    9.8484087649e-01    9.7513774968e-01
        37   -3.6502593714e+02    1.2733879012e+01    2.1478728421e+05    2.1509400000e+05    1.0320512821e+00   -3.6509701325e+02    9.8483369293e-01    9.7556417194e-01
        38   -3.6501946556e+02    1.2797914555e+01    2.1443273298e+05    2.1476500000e+05    1.0025641026e+00   -3.6509876546e+02    9.8480796655e-01    9.7539170721e-01
        39   -3.6501465858e+02    1.2673792724e+01    2.1417667553e+05    2.1448500000e+05    1.0557692308e+00   -3.6509098928e+02    9.8480903835e-01    9.7507051775e-01
        40   -3.6502718785e+02    1.2634760159e+01    2.1377298709e+05    2.1404100000e+05    1.0108974359e+00   -3.6508411008e+02    9.8479957945e-01    9.7566821310e-01
        41   -3.6502324734e+02    1.2735186432e+01    2.1339495634e+05    2.1369700000e+05    9.9230769231e-01   -3.6509503088e+02    9.8480082887e-01    9.7543250490e-01
        42   -3.6503816025e+02    1.2662117487e+01    2.1310847968e+05    2.1335300000e+05    1.0198717949e+00   -3.6508947932e+02    9.8486231523e-01    9.7563193393e-01
        43   -3.6504651401e+02    1.2705461794e+01    2.1282282713e+05    2.1307300000e+05    1.0237179487e+00   -3.6510307899e+02    9.8485684619e-01    9.7559052531e-01
        44   -3.6504627803e+02    1.2674438521e+01    2.1246915559e+05    2.1273300000e+05    1.0282051282e+00   -3.6510983578e+02    9.8484642067e-01    9.7544809691e-01
        45   -3.6505774491e+02    1.2652542499e+01    2.1215097538e+05    2.1238700000e+05    1.0153846154e+00   -3.6510797203e+02    9.8482897645e-01    9.7574710317e-01
        46   -3.6505142882e+02    1.2686907870e+01    2.1198743839e+05    2.1225500000e+05    1.0102564103e+00   -3.6511881721e+02    9.8487073105e-01    9.7592989564e-01
        47   -3.6505066162e+02    1.2724503186e+01    2.1184741315e+05    2.1210300000e+05    1.0012820513e+00   -3.6511178474e+02    9.8481593753e-01    9.7585606993e-01
        48   -3.6505467926e+02    1.2736159058e+01    2.1166388121e+05    2.1190900000e+05    1.0115384615e+00   -3.6511010247e+02    9.8483064611e-01    9.7547532195e-01
        49   -3.6504628774e+02    1.2619088238e+01    2.1134559672e+05    2.1160800000e+05    9.8525641026e-01   -3.6511269868e+02    9.8482656652e-01    9.7601224906e-01
        50   -3.6505498670e+02    1.2603393869e+01    2.1126320062e+05    2.1148600000e+05    1.0102564103e+00   -3.6510373046e+02    9.8485908675e-01    9.7529860133e-01
        51   -3.6507794752e+02    1.2759879263e+01    2.1089928630e+05    2.1108500000e+05    1.0358974359e+00   -3.6511053151e+02    9.8479761041e-01    9.7624179833e-01
        52   -3.6507081185e+02    1.2708454332e+01    2.1077252599e+05    2.1101800000e+05    9.4615384615e-01   -3.6513317487e+02    9.8485031103e-01    9.7553763186e-01
        53   -3.6506954330e+02    1.2721017366e+01    2.1058775532e+05    2.1081600000e+05    1.0384615385e+00   -3.6512508148e+02    9.8485197398e-01    9.7550944900e-01
        54   -3.6507520779e+02    1.2631320675e+01    2.1032913157e+05    2.1053300000e+05    1.0102564103e+00   -3.6512246962e+02    9.8485323823e-01    9.7533403314e-01
        55   -3.6507174921e+02    1.2658664673e+01    2.1011524752e+05    2.1033100000e+05    9.9230769231e-01   -3.6512717418e+02    9.8486285366e-01    9.7566692499e-01
        56   -3.6507287828e+02    1.2661357517e+01    2.0995573553e+05    2.1016100000e+05    9.7500000000e-01   -3.6512290703e+02    9.8479112795e-01    9.7549497766e-01
        57   -3.6507492839e+02    1.2725059271e+01    2.0977029253e+05    2.0997200000e+05    1.0352564103e+00   -3.6512313638e+02    9.8483887786e-01    9.7582534814e-01
        58   -3.6507700878e+02    1.2737069524e+01    2.0957419839e+05    2.0977800000e+05    9.7564102564e-01   -3.6512426213e+02    9.8482395969e-01    9.7576962313e-01
        59   -3.6507768328e+02    1.2742776769e+01    2.0932720066e+05    2.0953200000e+05    1.0141025641e+00   -3.6512516916e+02    9.8480507471e-01    9.7520665101e-01
        60   -3.6508431877e+02    1.2679679799e+01    2.0895125513e+05    2.0913000000e+05    9.9102564103e-01   -3.6512392327e+02    9.8481358964e-01    9.7534547889e-01
        61   -3.6507920804e+02    1.2703739672e+01    2.0868958326e+05    2.0888400000e+05    1.0128205128e+00   -3.6512938176e+02    9.8485200593e-01    9.7588135041e-01
        62   -3.6507571009e+02    1.2648410494e+01    2.0853647051e+05    2.0873300000e+05    1.0250000000e+00   -3.6512354788e+02    9.8479127077e-01    9.7552854604e-01
        63   -3.6508490055e+02    1.2642053291e+01    2.0834265100e+05    2.0849500000e+05    1.0108974359e+00   -3.6511890907e+02    9.8482906422e-01    9.7580277705e-01
        64   -3.6508530973e+02    1.2670381945e+01    2.0805842791e+05    2.0823200000e+05    9.6410256410e-01   -3.6512683731e+02    9.8487633120e-01    9.7573859925e-01
        65   -3.6508894248e+02    1.2590802988e+01    2.0801206622e+05    2.0817200000e+05    9.5833333333e-01   -3.6512695831e+02    9.8482993211e-01    9.7576042888e-01
        66   -3.6508779986e+02    1.2705449620e+01    2.0794244970e+05    2.0811300000e+05    9.5897435897e-01   -3.6513030760e+02    9.8483731791e-01    9.7517214206e-01
