#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            IonIon              LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -3.6455636421e+02    1.3291410766e+05   -6.3844952105e+02    2.7389315684e+02   -1.2197733884e+01   -2.7083095112e+02   -3.9670082760e+02    4.1279991558e+01    2.0048190000e+06    8.7895741706e+00    9.9121706886e-01
         1   -3.6481670514e+02    1.3310394514e+05   -6.3886753674e+02    2.7405083160e+02   -1.2359817827e+01   -2.7083095112e+02   -3.9692640356e+02    4.1249635778e+01    2.0138600000e+06    8.7824487236e+00    9.9119889242e-01
         2   -3.6493519109e+02    1.3319037632e+05   -6.3918319637e+02    2.7424800528e+02   -1.2473876005e+01   -2.7083095112e+02   -3.9713430023e+02    4.1255930984e+01    2.0130940000e+06    8.7132413207e+00    9.9119921926e-01
         3   -3.6500084121e+02    1.3323836755e+05   -6.3942040739e+02    2.7441956618e+02   -1.2532222270e+01   -2.7083095112e+02   -3.9735483101e+02    4.1297597011e+01    2.0123770000e+06    8.7352810420e+00    9.9120135928e-01
         4   -3.6504126370e+02    1.3326787714e+05   -6.3965427166e+02    2.7461300796e+02   -1.2569440627e+01   -2.7083095112e+02   -3.9755454899e+02    4.1300669080e+01    2.0090820000e+06    8.7211617084e+00    9.9118859967e-01
         5   -3.6506502379e+02    1.3328519202e+05   -6.3976508287e+02    2.7470005908e+02   -1.2575462945e+01   -2.7083095112e+02   -3.9771360651e+02    4.1354937703e+01    2.0042460000e+06    8.7251421066e+00    9.9119102851e-01
         6   -3.6508294439e+02    1.3329824328e+05   -6.3976151872e+02    2.7467857433e+02   -1.2606035768e+01   -2.7083095112e+02   -3.9765522333e+02    4.1330691501e+01    2.0004070000e+06    8.6657459532e+00    9.9119103302e-01
         7   -3.6508858272e+02    1.3330234665e+05   -6.3980849034e+02    2.7471990762e+02   -1.2608770807e+01   -2.7083095112e+02   -3.9766168251e+02    4.1292914093e+01    1.9979240000e+06    8.6464544458e+00    9.9118648503e-01
         8   -3.6510531295e+02    1.3331460764e+05   -6.3984346309e+02    2.7473815014e+02   -1.2617177992e+01   -2.7083095112e+02   -3.9771500885e+02    4.1319674870e+01    1.9949300000e+06    8.6550683231e+00    9.9118792244e-01
         9   -3.6510723297e+02    1.3331598316e+05   -6.3983347126e+02    2.7472623829e+02   -1.2632567288e+01   -2.7083095112e+02   -3.9774966981e+02    4.1379716968e+01    1.9958640000e+06    8.6563666128e+00    9.9120030787e-01
