# Index          LocalEnergy            Variance              Weight        NumOfWalkers      AvgSentWalkers         TrialEnergy             DiffEff      LivingFraction
        33   -3.6497601241e+02    1.2695394059e+01    2.0100462327e+05    2.0102400000e+05    1.3897435897e+00   -3.6497944888e+02    9.8484270031e-01    9.7600783986e-01
        34   -3.6499354489e+02    1.2682275377e+01    2.0115019612e+05    2.0114100000e+05    1.3833333333e+00   -3.6498330248e+02    9.8484102420e-01    9.7664822189e-01
        35   -3.6499898234e+02    1.2628084319e+01    2.0130592702e+05    2.0133000000e+05    1.3641025641e+00   -3.6500177416e+02    9.8484031943e-01    9.7695326082e-01
        36   -3.6499497816e+02    1.2556086878e+01    2.0136043096e+05    2.0141400000e+05    1.2730769231e+00   -3.6500762875e+02    9.8484028543e-01    9.7540389447e-01
        37   -3.6500949861e+02    1.2635858906e+01    2.0121149263e+05    2.0120700000e+05    1.4179487179e+00   -3.6500259630e+02    9.8484011287e-01    9.7560224048e-01
        38   -3.6502422534e+02    1.3279233026e+01    2.0113008868e+05    2.0113100000e+05    1.4269230769e+00   -3.6501673896e+02    9.8484115295e-01    9.7612004117e-01
        39   -3.6502646932e+02    1.2774169577e+01    2.0123864719e+05    2.0126600000e+05    1.3576923077e+00   -3.6503213668e+02    9.8484118592e-01    9.7611618455e-01
        40   -3.6503431842e+02    1.2699388318e+01    2.0129425501e+05    2.0131100000e+05    1.3128205128e+00   -3.6503460421e+02    9.8484132779e-01    9.7624074194e-01
        41   -3.6503774341e+02    1.2724991872e+01    2.0128050836e+05    2.0130900000e+05    1.3410256410e+00   -3.6504244338e+02    9.8484087916e-01    9.7594245662e-01
        42   -3.6504306177e+02    1.2795372756e+01    2.0114892102e+05    2.0117500000e+05    1.3487179487e+00   -3.6504520250e+02    9.8483987430e-01    9.7639865788e-01
        43   -3.6503265579e+02    1.2741176289e+01    2.0127807463e+05    2.0133300000e+05    1.3884615385e+00   -3.6505130594e+02    9.8484004064e-01    9.7587082098e-01
        44   -3.6503538055e+02    1.2637958603e+01    2.0117179388e+05    2.0119500000e+05    1.3371794872e+00   -3.6504021429e+02    9.8483860961e-01    9.7618728100e-01
        45   -3.6503722135e+02    1.2633086947e+01    2.0113282944e+05    2.0116200000e+05    1.3961538462e+00   -3.6504277502e+02    9.8483844377e-01    9.7623805689e-01
        46   -3.6504309584e+02    1.2723211270e+01    2.0102301270e+05    2.0104400000e+05    1.3692307692e+00   -3.6504402906e+02    9.8483776296e-01    9.7552774517e-01
        47   -3.6504912202e+02    1.2577781892e+01    2.0078129227e+05    2.0079100000e+05    1.4076923077e+00   -3.6504864432e+02    9.8483733062e-01    9.7622403395e-01
        48   -3.6505127964e+02    1.3238317224e+01    2.0066012449e+05    2.0068500000e+05    1.4166666667e+00   -3.6505414245e+02    9.8483675857e-01    9.7623639036e-01
        49   -3.6505064690e+02    1.2693582801e+01    2.0063523503e+05    2.0066300000e+05    1.4333333333e+00   -3.6505619044e+02    9.8483613471e-01    9.7638827288e-01
        50   -3.6505033376e+02    1.2644574375e+01    2.0058281588e+05    2.0060800000e+05    1.3948717949e+00   -3.6505528357e+02    9.8483562178e-01    9.7595808741e-01
        51   -3.6506350321e+02    1.2694281337e+01    2.0042698306e+05    2.0042600000e+05    1.3858974359e+00   -3.6505406278e+02    9.8483558046e-01    9.7682935348e-01
        52   -3.6505734068e+02    1.2689678348e+01    2.0047318516e+05    2.0050500000e+05    1.4128205128e+00   -3.6506762631e+02    9.8483563333e-01    9.7631979252e-01
        53   -3.6505473920e+02    1.2629578684e+01    2.0051852136e+05    2.0054200000e+05    1.3551282051e+00   -3.6506164830e+02    9.8483555515e-01    9.7638399936e-01
        54   -3.6505705357e+02    1.2789798227e+01    2.0056444616e+05    2.0058500000e+05    1.4358974359e+00   -3.6505926121e+02    9.8483347153e-01    9.7626941197e-01
        55   -3.6506062572e+02    1.2609888165e+01    2.0055683531e+05    2.0057400000e+05    1.3923076923e+00   -3.6506152075e+02    9.8483286542e-01    9.7579945556e-01
        56   -3.6506999687e+02    1.2777805521e+01    2.0042206685e+05    2.0042500000e+05    1.4166666667e+00   -3.6506434975e+02    9.8483288239e-01    9.7622552077e-01
        57   -3.6506132251e+02    1.2678061749e+01    2.0042722472e+05    2.0046300000e+05    1.3705128205e+00   -3.6507391047e+02    9.8483274903e-01    9.7586088206e-01
        58   -3.6507597329e+02    1.2720377831e+01    2.0040477372e+05    2.0038600000e+05    1.3769230769e+00   -3.6506485193e+02    9.8483318904e-01    9.7577675087e-01
        59   -3.6507366082e+02    1.2715940711e+01    2.0026648015e+05    2.0028300000e+05    1.3358974359e+00   -3.6507898857e+02    9.8483299486e-01    9.7610880604e-01
        60   -3.6508119156e+02    1.2774792435e+01    2.0034353418e+05    2.0033600000e+05    1.4435897436e+00   -3.6507694069e+02    9.8483297036e-01    9.7558102388e-01
        61   -3.6507693817e+02    1.2671488321e+01    2.0013193930e+05    2.0014700000e+05    1.3794871795e+00   -3.6508352757e+02    9.8483270777e-01    9.7578279964e-01
        62   -3.6507256878e+02    1.2719520141e+01    2.0009025632e+05    2.0009900000e+05    1.3615384615e+00   -3.6507903433e+02    9.8483181626e-01    9.7625175538e-01
        63   -3.6508400765e+02    1.2726327672e+01    2.0019761542e+05    2.0018000000e+05    1.4538461538e+00   -3.6507506966e+02    9.8483057352e-01    9.7614147267e-01
        64   -3.6508088732e+02    1.2681977237e+01    2.0001491970e+05    2.0003400000e+05    1.4307692308e+00   -3.6508577892e+02    9.8483052707e-01    9.7580911245e-01
        65   -3.6507005919e+02    1.2628844896e+01    2.0007170301e+05    2.0009700000e+05    1.4282051282e+00   -3.6508297348e+02    9.8482999253e-01    9.7627650589e-01
        66   -3.6507091281e+02    1.2572411157e+01    1.9997707115e+05    1.9998200000e+05    1.3923076923e+00   -3.6507157047e+02    9.8482987529e-01    9.7604284386e-01
        67   -3.6510284548e+02    1.2769220907e+01    2.0007776098e+05    2.0002100000e+05    1.3756410256e+00   -3.6507261909e+02    9.8482960060e-01    9.7625249349e-01
        68   -3.6509287772e+02    1.2816364405e+01    2.0005253232e+05    2.0007600000e+05    1.3871794872e+00   -3.6510482668e+02    9.8482972822e-01    9.7631400068e-01
        69   -3.6508538440e+02    1.2609474311e+01    2.0006124860e+05    2.0008600000e+05    1.4423076923e+00   -3.6509490891e+02    9.8482969759e-01    9.7596533491e-01
        70   -3.6508391442e+02    1.2689461398e+01    1.9991143642e+05    1.9992400000e+05    1.4076923077e+00   -3.6508660561e+02    9.8482946774e-01    9.7601088414e-01
        71   -3.6508784932e+02    1.2620091848e+01    1.9991253301e+05    1.9990800000e+05    1.4153846154e+00   -3.6508505560e+02    9.8482932275e-01    9.7611401245e-01
        72   -3.6509567468e+02    1.2734139126e+01    1.9981634387e+05    1.9981000000e+05    1.4012820513e+00   -3.6508850015e+02    9.8482926056e-01    9.7676792953e-01
        73   -3.6508677315e+02    1.2717083878e+01    1.9993113648e+05    1.9996300000e+05    1.3858974359e+00   -3.6509709094e+02    9.8482916726e-01    9.7633062116e-01
        74   -3.6508616687e+02    1.2642747858e+01    1.9985841598e+05    1.9987300000e+05    1.4038461538e+00   -3.6508773923e+02    9.8482875287e-01    9.7624491552e-01
        75   -3.6508632088e+02    1.2562420609e+01    1.9981829737e+05    1.9982100000e+05    1.3141025641e+00   -3.6508687275e+02    9.8482900278e-01    9.7632380981e-01
        76   -3.6508444117e+02    1.2628998929e+01    1.9974928050e+05    1.9976100000e+05    1.4269230769e+00   -3.6508672645e+02    9.8482900023e-01    9.7631669845e-01
        77   -3.6508191251e+02    1.2644485869e+01    1.9981379334e+05    1.9982300000e+05    1.3794871795e+00   -3.6508515706e+02    9.8482941687e-01    9.7622896263e-01
        78   -3.6509842125e+02    1.2696760506e+01    1.9983279938e+05    1.9980700000e+05    1.4115384615e+00   -3.6508254832e+02    9.8482904762e-01    9.7609693354e-01
        79   -3.6509385529e+02    1.2735242855e+01    1.9970455301e+05    1.9972000000e+05    1.3666666667e+00   -3.6509862155e+02    9.8482848378e-01    9.7599138794e-01
        80   -3.6509986015e+02    1.2834671176e+01    1.9973095416e+05    1.9972000000e+05    1.3846153846e+00   -3.6509405559e+02    9.8482732966e-01    9.7564590427e-01
        81   -3.6510092585e+02    1.2815013532e+01    1.9963012108e+05    1.9962600000e+05    1.3371794872e+00   -3.6509958968e+02    9.8482738965e-01    9.7651608508e-01
        82   -3.6510259036e+02    1.2673630721e+01    1.9961226023e+05    1.9961500000e+05    1.4076923077e+00   -3.6510060027e+02    9.8482722355e-01    9.7635949202e-01
        83   -3.6510779090e+02    1.2768105808e+01    1.9959833189e+05    1.9959100000e+05    1.3589743590e+00   -3.6510214455e+02    9.8482686025e-01    9.7563517393e-01
        84   -3.6510971224e+02    1.2738300670e+01    1.9943601205e+05    1.9942400000e+05    1.3474358974e+00   -3.6510650803e+02    9.8482726102e-01    9.7627166239e-01
        85   -3.6508884890e+02    1.2602515630e+01    1.9943156800e+05    1.9946500000e+05    1.3641025641e+00   -3.6510863494e+02    9.8482662236e-01    9.7650214323e-01
        86   -3.6509772203e+02    1.2760730521e+01    1.9945702065e+05    1.9944400000e+05    1.3346153846e+00   -3.6508766631e+02    9.8482614276e-01    9.7584785704e-01
        87   -3.6510233635e+02    1.2636129106e+01    1.9943363333e+05    1.9941900000e+05    1.3205128205e+00   -3.6509641408e+02    9.8482594754e-01    9.7606045562e-01
        88   -3.6511536184e+02    1.2654740691e+01    1.9956162704e+05    1.9952800000e+05    1.3935897436e+00   -3.6510157485e+02    9.8482633329e-01    9.7631410128e-01
        89   -3.6510691079e+02    1.2675391619e+01    1.9956079746e+05    1.9957600000e+05    1.4397435897e+00   -3.6511484087e+02    9.8482595455e-01    9.7558323646e-01
        90   -3.6511997881e+02    1.2785270670e+01    1.9941654960e+05    1.9938000000e+05    1.4230769231e+00   -3.6510540726e+02    9.8482615240e-01    9.7667770087e-01
        91   -3.6512049321e+02    1.2779559656e+01    1.9948819625e+05    1.9948800000e+05    1.4179487179e+00   -3.6511901681e+02    9.8482583918e-01    9.7580305582e-01
        92   -3.6511420293e+02    1.2695764456e+01    1.9956707013e+05    1.9957500000e+05    1.3589743590e+00   -3.6511996723e+02    9.8482635782e-01    9.7659025429e-01
        93   -3.6511857624e+02    1.2710621390e+01    1.9966343924e+05    1.9965600000e+05    1.3115384615e+00   -3.6511408273e+02    9.8482599886e-01    9.7588852827e-01
        94   -3.6511929487e+02    1.2550292666e+01    1.9970400026e+05    1.9969900000e+05    1.3371794872e+00   -3.6511867139e+02    9.8482599997e-01    9.7650463948e-01
        95   -3.6510505599e+02    1.2594902829e+01    1.9969503463e+05    1.9972900000e+05    1.3679487179e+00   -3.6511954024e+02    9.8482626220e-01    9.7597744944e-01
        96   -3.6510126714e+02    1.2711003159e+01    1.9952762039e+05    1.9953600000e+05    1.3435897436e+00   -3.6510433458e+02    9.8482602279e-01    9.7645537647e-01
        97   -3.6509737181e+02    1.2821868484e+01    1.9951682272e+05    1.9953000000e+05    1.4564102564e+00   -3.6510051566e+02    9.8482615590e-01    9.7644965669e-01
        98   -3.6509205439e+02    1.2658766546e+01    1.9953081427e+05    1.9954400000e+05    1.4076923077e+00   -3.6509669048e+02    9.8482651337e-01    9.7549913803e-01
        99   -3.6510937585e+02    1.2631838149e+01    1.9957023736e+05    1.9952500000e+05    1.3012820513e+00   -3.6509127785e+02    9.8482677549e-01    9.7640395940e-01
       100   -3.6509540533e+02    1.2699929620e+01    1.9948375474e+05    1.9951300000e+05    1.3397435897e+00   -3.6510853916e+02    9.8482708448e-01    9.7613689334e-01
