#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9472818939e+01    3.8128699252e+02   -3.2583987380e+01    1.3111168441e+01    2.3208271447e+01    1.2053075198e+01   -7.0512074197e+01    2.6667401718e+00    3.2000000000e+02    1.1695928872e-02    4.5584375000e-01
         1   -1.9403236117e+01    3.7898305653e+02   -3.3273921049e+01    1.3870684932e+01    2.3612023306e+01    1.2053075198e+01   -7.1673821468e+01    2.7348019148e+00    3.2000000000e+02    1.1753149331e-02    4.5425000000e-01
         2   -1.9701927696e+01    3.9000840140e+02   -3.4011487870e+01    1.4309560174e+01    2.3340966702e+01    1.2053075198e+01   -7.2184007214e+01    2.7784774427e+00    3.2000000000e+02    1.1701144278e-02    4.4768750000e-01
         3   -1.9562018836e+01    3.8478791383e+02   -3.3397150250e+01    1.3835131414e+01    2.3071830132e+01    1.2053075198e+01   -7.1016396846e+01    2.4943412658e+00    3.2000000000e+02    1.1678501964e-02    4.5081250000e-01
         4   -1.9416314591e+01    3.7895230879e+02   -3.2374920196e+01    1.2958605604e+01    2.3216194163e+01    1.2053075198e+01   -7.0097755787e+01    2.4535662293e+00    3.2000000000e+02    1.1699244380e-02    4.5584375000e-01
         5   -1.9557185177e+01    3.8443952848e+02   -3.3694601101e+01    1.4137415924e+01    2.3299054669e+01    1.2053075198e+01   -7.1696724089e+01    2.6499931205e+00    3.2000000000e+02    1.1730715632e-02    4.5396875000e-01
         6   -1.9575013306e+01    3.8521799959e+02   -3.3058583896e+01    1.3483570590e+01    2.3071654606e+01    1.2053075198e+01   -7.1509506121e+01    3.3261924202e+00    3.2000000000e+02    1.1672191322e-02    4.5537500000e-01
         7   -1.9511331498e+01    3.8257234816e+02   -3.3448630586e+01    1.3937299087e+01    2.3153122213e+01    1.2053075198e+01   -7.1535656846e+01    2.8808288492e+00    3.2000000000e+02    1.1668346822e-02    4.5046875000e-01
         8   -1.9583388995e+01    3.8546370078e+02   -3.2780706415e+01    1.3197317419e+01    2.3362156790e+01    1.2053075198e+01   -7.0961601240e+01    2.7656628373e+00    3.2000000000e+02    1.1742413044e-02    4.5353125000e-01
         9   -1.9390341485e+01    3.7854923763e+02   -3.3077709738e+01    1.3687368254e+01    2.3447823281e+01    1.2053075198e+01   -7.1501839331e+01    2.9232311141e+00    3.2000000000e+02    1.1679351330e-02    4.4931250000e-01
        10   -1.9569883647e+01    3.8476123961e+02   -3.3644040100e+01    1.4074156453e+01    2.3438285191e+01    1.2053075198e+01   -7.1435961335e+01    2.3005608455e+00    3.2000000000e+02    1.1734850705e-02    4.5356250000e-01
        11   -1.9551669297e+01    3.8433185066e+02   -3.3756753639e+01    1.4205084341e+01    2.3453831615e+01    1.2053075198e+01   -7.2160589698e+01    2.8969292463e+00    3.2000000000e+02    1.1731229722e-02    4.5331250000e-01
        12   -1.9691544295e+01    3.8972771210e+02   -3.3910126248e+01    1.4218581953e+01    2.3438536507e+01    1.2053075198e+01   -7.2342749556e+01    2.9410116025e+00    3.2000000000e+02    1.1778309941e-02    4.5362500000e-01
        13   -1.9522813171e+01    3.8308436644e+02   -3.3239648464e+01    1.3716835294e+01    2.3257056386e+01    1.2053075198e+01   -7.1034019217e+01    2.4842391679e+00    3.2000000000e+02    1.1698059738e-02    4.5143750000e-01
        14   -1.9572877107e+01    3.8530073276e+02   -3.3495896159e+01    1.3923019052e+01    2.3293260051e+01    1.2053075198e+01   -7.1807033429e+01    2.9648020208e+00    3.2000000000e+02    1.1704072356e-02    4.5631250000e-01
        15   -1.9370744031e+01    3.7775258112e+02   -3.2837728428e+01    1.3466984397e+01    2.3471935867e+01    1.2053075198e+01   -7.1125916887e+01    2.7631773937e+00    3.2000000000e+02    1.1725440621e-02    4.5487500000e-01
        16   -1.9492649038e+01    3.8237575144e+02   -3.3456489939e+01    1.3963840901e+01    2.3388437056e+01    1.2053075198e+01   -7.0966539275e+01    2.0685370820e+00    3.2000000000e+02    1.1744007468e-02    4.5062500000e-01
        17   -1.9558929532e+01    3.8464030223e+02   -3.3455470900e+01    1.3896541368e+01    2.3207706291e+01    1.2053075198e+01   -7.1805410679e+01    3.0891582888e+00    3.2000000000e+02    1.1693798006e-02    4.5259375000e-01
        18   -1.9556042532e+01    3.8469664228e+02   -3.2965115323e+01    1.3409072791e+01    2.3633844374e+01    1.2053075198e+01   -7.1340193558e+01    2.6881586624e+00    3.2000000000e+02    1.1812224984e-02    4.4859375000e-01
        19   -1.9705174758e+01    3.9011613916e+02   -3.3810247801e+01    1.4105073044e+01    2.3234229113e+01    1.2053075198e+01   -7.1751012025e+01    2.6534599120e+00    3.2000000000e+02    1.1707507074e-02    4.5309375000e-01
        20   -1.9591729980e+01    3.8596107877e+02   -3.3055178168e+01    1.3463448188e+01    2.3257371793e+01    1.2053075198e+01   -7.1066262602e+01    2.7006374435e+00    3.2000000000e+02    1.1688962579e-02    4.5421875000e-01
        21   -1.9611480117e+01    3.8651372455e+02   -3.4063118767e+01    1.4451638650e+01    2.3468054483e+01    1.2053075198e+01   -7.2378569852e+01    2.7943214027e+00    3.2000000000e+02    1.1746913195e-02    4.5237500000e-01
        22   -1.9475800312e+01    3.8142907326e+02   -3.3738529543e+01    1.4262729231e+01    2.3374458637e+01    1.2053075198e+01   -7.1776297148e+01    2.6102337699e+00    3.2000000000e+02    1.1686488986e-02    4.5575000000e-01
        23   -1.9574146497e+01    3.8510841841e+02   -3.3007974668e+01    1.3433828172e+01    2.3123379088e+01    1.2053075198e+01   -7.1054766808e+01    2.8703378531e+00    3.2000000000e+02    1.1664628983e-02    4.5178125000e-01
        24   -1.9491228940e+01    3.8166898131e+02   -3.3700660574e+01    1.4209431634e+01    2.3527614043e+01    1.2053075198e+01   -7.1604901185e+01    2.3235513696e+00    3.2000000000e+02    1.1740982533e-02    4.4996875000e-01
        25   -1.9515529945e+01    3.8287691129e+02   -3.3456759482e+01    1.3941229537e+01    2.3122855120e+01    1.2053075198e+01   -7.0923180649e+01    2.2904908486e+00    3.2000000000e+02    1.1654242873e-02    4.5121875000e-01
        26   -1.9666083866e+01    3.8855656923e+02   -3.3847947262e+01    1.4181863396e+01    2.3497351024e+01    1.2053075198e+01   -7.1819959144e+01    2.4215856596e+00    3.2000000000e+02    1.1768803000e-02    4.4543750000e-01
        27   -1.9686239957e+01    3.8930823054e+02   -3.3586600215e+01    1.3900360258e+01    2.3101938451e+01    1.2053075198e+01   -7.1268342159e+01    2.5267282947e+00    3.2000000000e+02    1.1699013412e-02    4.4921875000e-01
        28   -1.9433487557e+01    3.7999523340e+02   -3.3140466717e+01    1.3706979159e+01    2.3504194794e+01    1.2053075198e+01   -7.1345582921e+01    2.6478462117e+00    3.2000000000e+02    1.1722013354e-02    4.5693750000e-01
        29   -1.9430112750e+01    3.7932165252e+02   -3.2851638693e+01    1.3421525943e+01    2.3179817072e+01    1.2053075198e+01   -7.0501336081e+01    2.4168051179e+00    3.2000000000e+02    1.1687859893e-02    4.5990625000e-01
        30   -1.9620383919e+01    3.8717893215e+02   -3.3415771983e+01    1.3795388064e+01    2.3288635858e+01    1.2053075198e+01   -7.1516753288e+01    2.7592702492e+00    3.2000000000e+02    1.1764936149e-02    4.5321875000e-01
        31   -1.9563200091e+01    3.8493609201e+02   -3.3131928865e+01    1.3568728774e+01    2.3188713980e+01    1.2053075198e+01   -7.1127414258e+01    2.7536962151e+00    3.2000000000e+02    1.1720374227e-02    4.5068750000e-01
        32   -1.9651306729e+01    3.8798475019e+02   -3.3377550327e+01    1.3726243598e+01    2.3132872090e+01    1.2053075198e+01   -7.1278927800e+01    2.7154301860e+00    3.2000000000e+02    1.1702068150e-02    4.5184375000e-01
        33   -1.9455353455e+01    3.8105807897e+02   -3.3412455778e+01    1.3957102323e+01    2.3469984713e+01    1.2053075198e+01   -7.1753715011e+01    2.8181993218e+00    3.2000000000e+02    1.1698953807e-02    4.5000000000e-01
        34   -1.9670079587e+01    3.8888129286e+02   -3.3803210205e+01    1.4133130617e+01    2.3250657694e+01    1.2053075198e+01   -7.1473081004e+01    2.3661379075e+00    3.2000000000e+02    1.1720702052e-02    4.5021875000e-01
        35   -1.9524145729e+01    3.8344839236e+02   -3.3357798009e+01    1.3833652279e+01    2.3174291566e+01    1.2053075198e+01   -7.1478164396e+01    2.8929996227e+00    3.2000000000e+02    1.1704444885e-02    4.5334375000e-01
        36   -1.9565317813e+01    3.8467543808e+02   -3.4100233294e+01    1.4534915482e+01    2.3374761300e+01    1.2053075198e+01   -7.2221014066e+01    2.6929442732e+00    3.2000000000e+02    1.1722363532e-02    4.5056250000e-01
        37   -1.9559525353e+01    3.8442876757e+02   -3.3540957362e+01    1.3981432009e+01    2.3398675360e+01    1.2053075198e+01   -7.1930826296e+01    2.9381183752e+00    3.2000000000e+02    1.1708714068e-02    4.5412500000e-01
        38   -1.9615756430e+01    3.8693851883e+02   -3.3276990430e+01    1.3661234000e+01    2.3464927104e+01    1.2053075198e+01   -7.1791535556e+01    2.9965428237e+00    3.2000000000e+02    1.1766761541e-02    4.5359375000e-01
        39   -1.9549419773e+01    3.8460464667e+02   -3.4362919680e+01    1.4813499907e+01    2.3651366941e+01    1.2053075198e+01   -7.2085545424e+01    2.0181836055e+00    3.2000000000e+02    1.1762492359e-02    4.5109375000e-01
        40   -1.9558784485e+01    3.8483089238e+02   -3.3455744372e+01    1.3896959887e+01    2.3453227167e+01    1.2053075198e+01   -7.1466327847e+01    2.5042811095e+00    3.2000000000e+02    1.1738039553e-02    4.4834375000e-01
        41   -1.9581809754e+01    3.8558089409e+02   -3.3618489517e+01    1.4036679764e+01    2.3414606183e+01    1.2053075198e+01   -7.2183239073e+01    3.0970681750e+00    3.2000000000e+02    1.1726088822e-02    4.5493750000e-01
        42   -1.9601314141e+01    3.8613844438e+02   -3.3716006774e+01    1.4114692633e+01    2.3498622816e+01    1.2053075198e+01   -7.2038800741e+01    2.7710959530e+00    3.2000000000e+02    1.1728100479e-02    4.4590625000e-01
        43   -1.9546667245e+01    3.8399729346e+02   -3.3956344650e+01    1.4409677405e+01    2.3415043265e+01    1.2053075198e+01   -7.2146999852e+01    2.7225367383e+00    3.2000000000e+02    1.1740274727e-02    4.4887500000e-01
        44   -1.9459304725e+01    3.8106651006e+02   -3.3235273439e+01    1.3775968714e+01    2.3294597628e+01    1.2053075198e+01   -7.1186777970e+01    2.6038317045e+00    3.2000000000e+02    1.1705227196e-02    4.5371875000e-01
        45   -1.9627444979e+01    3.8731620348e+02   -3.3370406138e+01    1.3742961159e+01    2.3256646615e+01    1.2053075198e+01   -7.1271272530e+01    2.5911445790e+00    3.2000000000e+02    1.1756606400e-02    4.4890625000e-01
        46   -1.9502671043e+01    3.8272514267e+02   -3.3694641128e+01    1.4191970085e+01    2.3556469958e+01    1.2053075198e+01   -7.2095562053e+01    2.7913757697e+00    3.2000000000e+02    1.1703506112e-02    4.4934375000e-01
        47   -1.9508724356e+01    3.8231528552e+02   -3.3044769640e+01    1.3536045284e+01    2.3278922706e+01    1.2053075198e+01   -7.0594902174e+01    2.2181346302e+00    3.2000000000e+02    1.1687017977e-02    4.4696875000e-01
        48   -1.9503869231e+01    3.8271189964e+02   -3.2920282743e+01    1.3416413512e+01    2.3189791580e+01    1.2053075198e+01   -7.0980675085e+01    2.8175255637e+00    3.2000000000e+02    1.1707991362e-02    4.4981250000e-01
        49   -1.9536093732e+01    3.8358811041e+02   -3.2762082542e+01    1.3225988811e+01    2.3289012747e+01    1.2053075198e+01   -7.0785640404e+01    2.6814699169e+00    3.2000000000e+02    1.1720038950e-02    4.5465625000e-01
        50   -1.9508526470e+01    3.8285676937e+02   -3.3403085697e+01    1.3894559227e+01    2.3438627410e+01    1.2053075198e+01   -7.1598548751e+01    2.7037604459e+00    3.2000000000e+02    1.1754713953e-02    4.4653125000e-01
        51   -1.9454207953e+01    3.8067525453e+02   -3.3014831530e+01    1.3560623577e+01    2.3217250704e+01    1.2053075198e+01   -7.0903405148e+01    2.6182477152e+00    3.2000000000e+02    1.1683128774e-02    4.5743750000e-01
        52   -1.9529729838e+01    3.8360488310e+02   -3.2586265968e+01    1.3056536130e+01    2.2853817044e+01    1.2053075198e+01   -6.9845311708e+01    2.3521534982e+00    3.2000000000e+02    1.1664599180e-02    4.6190625000e-01
        53   -1.9435947072e+01    3.7990868268e+02   -3.3033862335e+01    1.3597915263e+01    2.3287785698e+01    1.2053075198e+01   -7.0561789880e+01    2.1870666490e+00    3.2000000000e+02    1.1683799326e-02    4.6212500000e-01
        54   -1.9669417662e+01    3.8857118039e+02   -3.3304474956e+01    1.3635057294e+01    2.2994437597e+01    1.2053075198e+01   -7.0783039566e+01    2.4310518147e+00    3.2000000000e+02    1.1713176966e-02    4.4728125000e-01
        55   -1.9609855846e+01    3.8657440670e+02   -3.3362833510e+01    1.3752977664e+01    2.3155577697e+01    1.2053075198e+01   -7.0871075794e+01    2.2995893888e+00    3.2000000000e+02    1.1670060456e-02    4.4818750000e-01
        56   -1.9440129838e+01    3.8023516056e+02   -3.3413063860e+01    1.3972934022e+01    2.3360103247e+01    1.2053075198e+01   -7.1164783449e+01    2.3385411429e+00    3.2000000000e+02    1.1689014733e-02    4.4918750000e-01
        57   -1.9606111511e+01    3.8668360263e+02   -3.4042762575e+01    1.4436651064e+01    2.3774623252e+01    1.2053075198e+01   -7.3143802155e+01    3.2733411294e+00    3.2000000000e+02    1.1817380786e-02    4.4003125000e-01
        58   -1.9613007865e+01    3.8640238639e+02   -3.4091555524e+01    1.4478547659e+01    2.3516243720e+01    1.2053075198e+01   -7.2999708888e+01    3.3388344460e+00    3.2000000000e+02    1.1749938130e-02    4.4928125000e-01
        59   -1.9507072912e+01    3.8241670796e+02   -3.2489645034e+01    1.2982572122e+01    2.3023418553e+01    1.2053075198e+01   -7.0049567541e+01    2.4834287561e+00    3.2000000000e+02    1.1685200036e-02    4.6125000000e-01
        60   -1.9548291890e+01    3.8472845868e+02   -3.3616849486e+01    1.4068557596e+01    2.3359708399e+01    1.2053075198e+01   -7.1609605478e+01    2.5799723959e+00    3.2000000000e+02    1.1720739305e-02    4.5271875000e-01
        61   -1.9443690433e+01    3.7997039650e+02   -3.2990299568e+01    1.3546609135e+01    2.3343183719e+01    1.2053075198e+01   -7.0940110839e+01    2.5535523534e+00    3.2000000000e+02    1.1709578335e-02    4.5831250000e-01
        62   -1.9563028246e+01    3.8468788218e+02   -3.3211877763e+01    1.3648849517e+01    2.3154085130e+01    1.2053075198e+01   -7.0699850960e+01    2.2808128697e+00    3.2000000000e+02    1.1709243059e-02    4.5390625000e-01
        63   -1.9468236291e+01    3.8102927082e+02   -3.3629857291e+01    1.4161620999e+01    2.3260357344e+01    1.2053075198e+01   -7.1469229584e+01    2.5259397513e+00    3.2000000000e+02    1.1691547930e-02    4.4821875000e-01
        64   -1.9458168586e+01    3.8076598734e+02   -3.3170919463e+01    1.3712750877e+01    2.3584748337e+01    1.2053075198e+01   -7.1389521819e+01    2.5807788209e+00    3.2000000000e+02    1.1763662100e-02    4.5043750000e-01
        65   -1.9580049263e+01    3.8572853644e+02   -3.3616649639e+01    1.4036600375e+01    2.3395613028e+01    1.2053075198e+01   -7.1618933533e+01    2.5535956680e+00    3.2000000000e+02    1.1724568903e-02    4.5006250000e-01
