#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9902121352e+01    3.9643368760e+02   -3.4129789702e+01    1.4227668350e+01    2.2885137471e+01    1.2053075198e+01   -7.1771585505e+01    2.7035831332e+00    1.0240000000e+03    3.7465296686e-02    4.3613281250e-01
         1   -1.9883867620e+01    3.9581260284e+02   -3.4045973719e+01    1.4162106099e+01    2.2916296133e+01    1.2053075198e+01   -7.1724518036e+01    2.7091729849e+00    1.0240000000e+03    3.7269122899e-02    4.3801757812e-01
         2   -1.9884471709e+01    3.9577000722e+02   -3.4214138467e+01    1.4329666758e+01    2.3046406776e+01    1.2053075198e+01   -7.2135491725e+01    2.8218712833e+00    1.0240000000e+03    3.7364162505e-02    4.3401367188e-01
         3   -1.9893686595e+01    3.9611116572e+02   -3.4401784938e+01    1.4508098343e+01    2.2863416970e+01    1.2053075198e+01   -7.2166627687e+01    2.8483505805e+00    1.0240000000e+03    3.7265643477e-02    4.3615234375e-01
         4   -1.9879978978e+01    3.9556451964e+02   -3.4024467108e+01    1.4144488130e+01    2.2776742707e+01    1.2053075198e+01   -7.1539006881e+01    2.6847218678e+00    1.0240000000e+03    3.7238769233e-02    4.3651367188e-01
         5   -1.9913199801e+01    3.9691742458e+02   -3.4150636936e+01    1.4237437135e+01    2.2845630474e+01    1.2053075198e+01   -7.1507845401e+01    2.4585027923e+00    1.0240000000e+03    3.7298887968e-02    4.3833007813e-01
         6   -1.9856818334e+01    3.9463472884e+02   -3.4394105615e+01    1.4537287281e+01    2.2989104319e+01    1.2053075198e+01   -7.2353879421e+01    2.9175942883e+00    1.0240000000e+03    3.7303499877e-02    4.3193359375e-01
         7   -1.9894198616e+01    3.9625501963e+02   -3.4352315078e+01    1.4458116462e+01    2.2728046233e+01    1.2053075198e+01   -7.1876189036e+01    2.7427525267e+00    1.0240000000e+03    3.7291258574e-02    4.3783203125e-01
         8   -1.9851586596e+01    3.9444952613e+02   -3.4574138867e+01    1.4722552271e+01    2.3029557566e+01    1.2053075198e+01   -7.2456982313e+01    2.8002106811e+00    1.0240000000e+03    3.7391662598e-02    4.3398437500e-01
         9   -1.9867306337e+01    3.9501926292e+02   -3.4027607431e+01    1.4160301094e+01    2.3024456947e+01    1.2053075198e+01   -7.1908726944e+01    2.8035873678e+00    1.0240000000e+03    3.7306033075e-02    4.3394531250e-01
        10   -1.9905064339e+01    3.9647924048e+02   -3.3969625565e+01    1.4064561227e+01    2.2768884108e+01    1.2053075198e+01   -7.1502026025e+01    2.7104411530e+00    1.0240000000e+03    3.7336640060e-02    4.3835937500e-01
        11   -1.9913802635e+01    3.9691247555e+02   -3.4131350730e+01    1.4217548095e+01    2.2862736954e+01    1.2053075198e+01   -7.1754065967e+01    2.7069030845e+00    1.0240000000e+03    3.7331312895e-02    4.3721679687e-01
        12   -1.9873695659e+01    3.9526324536e+02   -3.3860090703e+01    1.3986395044e+01    2.2943613029e+01    1.2053075198e+01   -7.2048121603e+01    3.1913426715e+00    1.0240000000e+03    3.7334799767e-02    4.3924804687e-01
        13   -1.9875975676e+01    3.9530355065e+02   -3.4131933708e+01    1.4255958032e+01    2.2850849282e+01    1.2053075198e+01   -7.1559382559e+01    2.5235243712e+00    1.0240000000e+03    3.7390314043e-02    4.3542968750e-01
        14   -1.9899405138e+01    3.9630117220e+02   -3.4088437832e+01    1.4189032695e+01    2.2850665095e+01    1.2053075198e+01   -7.1517251262e+01    2.5250731358e+00    1.0240000000e+03    3.7320211530e-02    4.3418945313e-01
