#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9874742890e+01    3.9534565572e+02   -3.4362704354e+01    1.4487961464e+01    2.2977472220e+01    1.2053075198e+01   -7.1905453066e+01    2.5122012938e+00    3.2000000000e+02    1.1741556227e-02    4.3618750000e-01
         1   -1.9903579488e+01    3.9646284423e+02   -3.3965775634e+01    1.4062196146e+01    2.2784803898e+01    1.2053075198e+01   -7.1915098506e+01    3.1114437756e+00    3.2000000000e+02    1.1699818075e-02    4.4271875000e-01
         2   -1.9857130631e+01    3.9459050461e+02   -3.3406796563e+01    1.3549665931e+01    2.2697918814e+01    1.2053075198e+01   -7.0641034281e+01    2.4832437060e+00    3.2000000000e+02    1.1680208147e-02    4.4509375000e-01
         3   -1.9874646150e+01    3.9536589238e+02   -3.4151606915e+01    1.4276960764e+01    2.2831049118e+01    1.2053075198e+01   -7.1998506179e+01    2.9627749471e+00    3.2000000000e+02    1.1720336974e-02    4.3796875000e-01
         4   -1.9873818870e+01    3.9526892807e+02   -3.4084597814e+01    1.4210778944e+01    2.2857474114e+01    1.2053075198e+01   -7.1616193785e+01    2.6210466590e+00    3.2000000000e+02    1.1694841087e-02    4.4150000000e-01
         5   -1.9817721279e+01    3.9316668921e+02   -3.3454576133e+01    1.3636854853e+01    2.2748373788e+01    1.2053075198e+01   -7.1435439934e+01    3.1794148144e+00    3.2000000000e+02    1.1705785990e-02    4.3684375000e-01
         6   -1.9893210967e+01    3.9612724415e+02   -3.4542496205e+01    1.4649285238e+01    2.3155029449e+01    1.2053075198e+01   -7.2705186888e+01    2.9545860356e+00    3.2000000000e+02    1.1774502695e-02    4.3543750000e-01
         7   -1.9915033056e+01    3.9703484168e+02   -3.4072963330e+01    1.4157930275e+01    2.2879955672e+01    1.2053075198e+01   -7.2040490076e+01    3.0344958752e+00    3.2000000000e+02    1.1704541743e-02    4.3596875000e-01
         8   -1.9818121131e+01    3.9303319676e+02   -3.3643967950e+01    1.3825846819e+01    2.2705846108e+01    1.2053075198e+01   -7.1203714729e+01    2.8008254724e+00    3.2000000000e+02    1.1654861271e-02    4.3578125000e-01
         9   -1.9867093444e+01    3.9496693140e+02   -3.3980516698e+01    1.4113423254e+01    2.2894084310e+01    1.2053075198e+01   -7.1353048740e+01    2.4253725335e+00    3.2000000000e+02    1.1739857495e-02    4.4131250000e-01
        10   -1.9792020965e+01    3.9237892708e+02   -3.3834261366e+01    1.4042240402e+01    2.3030013780e+01    1.2053075198e+01   -7.1891399727e+01    2.9740493819e+00    3.2000000000e+02    1.1738598347e-02    4.3943750000e-01
        11   -1.9901615446e+01    3.9635715893e+02   -3.4159087510e+01    1.4257472064e+01    2.3082937416e+01    1.2053075198e+01   -7.1924164506e+01    2.6290643821e+00    3.2000000000e+02    1.1727645993e-02    4.3684375000e-01
        12   -1.9872369307e+01    3.9522055740e+02   -3.4116454134e+01    1.4244084827e+01    2.3038064067e+01    1.2053075198e+01   -7.1783494629e+01    2.5759012299e+00    3.2000000000e+02    1.1741787195e-02    4.3765625000e-01
        13   -1.9828394686e+01    3.9340770880e+02   -3.4055751036e+01    1.4227356351e+01    2.3011134021e+01    1.2053075198e+01   -7.2220903672e+01    3.1009434168e+00    3.2000000000e+02    1.1735081673e-02    4.4025000000e-01
        14   -1.9874979985e+01    3.9527151812e+02   -3.4137064253e+01    1.4262084267e+01    2.2803569302e+01    1.2053075198e+01   -7.2058826624e+01    3.0651178710e+00    3.2000000000e+02    1.1699207127e-02    4.3531250000e-01
        15   -1.9841249995e+01    3.9392497415e+02   -3.4406845789e+01    1.4565595794e+01    2.3022993931e+01    1.2053075198e+01   -7.2823444440e+01    3.3405295217e+00    3.2000000000e+02    1.1693179607e-02    4.3809375000e-01
        16   -1.9895743563e+01    3.9612728489e+02   -3.3479089636e+01    1.3583346073e+01    2.2965652707e+01    1.2053075198e+01   -7.0988467552e+01    2.4906500103e+00    3.2000000000e+02    1.1734709144e-02    4.4368750000e-01
        17   -1.9837624860e+01    3.9384925532e+02   -3.4180673451e+01    1.4343048591e+01    2.3139895861e+01    1.2053075198e+01   -7.2369466232e+01    2.9958217217e+00    3.2000000000e+02    1.1731922626e-02    4.3203125000e-01
