#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9899355591e+01    3.9633731528e+02   -3.4005541639e+01    1.4106186048e+01    2.2973185421e+01    1.2053075198e+01   -7.1813951146e+01    2.7821488886e+00    1.0240000000e+03    3.7101313472e-02    4.3804687500e-01
         1   -1.9880631983e+01    3.9555682710e+02   -3.4102216713e+01    1.4221584731e+01    2.2877142893e+01    1.2053075198e+01   -7.1768694779e+01    2.7362599746e+00    1.0240000000e+03    3.6981523037e-02    4.3632812500e-01
         2   -1.9898607556e+01    3.9628732733e+02   -3.3952913778e+01    1.4054306221e+01    2.2782901888e+01    1.2053075198e+01   -7.1639410868e+01    2.8505200040e+00    1.0240000000e+03    3.6992900074e-02    4.3715820313e-01
         3   -1.9906997157e+01    3.9672519790e+02   -3.4489655623e+01    1.4582658466e+01    2.3017124522e+01    1.2053075198e+01   -7.2458093201e+01    2.8982378574e+00    1.0240000000e+03    3.7077270448e-02    4.3466796875e-01
         4   -1.9886283968e+01    3.9576433289e+02   -3.4230262660e+01    1.4343978692e+01    2.2858219845e+01    1.2053075198e+01   -7.1837914148e+01    2.6963564441e+00    1.0240000000e+03    3.7056647241e-02    4.3750976562e-01
         5   -1.9896189968e+01    3.9627567397e+02   -3.4073626380e+01    1.4177436412e+01    2.2743470937e+01    1.2053075198e+01   -7.1246614353e+01    2.3764418381e+00    1.0240000000e+03    3.6981150508e-02    4.3942382812e-01
         6   -1.9877860912e+01    3.9545054975e+02   -3.4263692337e+01    1.4385831426e+01    2.2810594319e+01    1.2053075198e+01   -7.1673001995e+01    2.5456401403e+00    1.0240000000e+03    3.7033580244e-02    4.3692382812e-01
         7   -1.9885517556e+01    3.9571107733e+02   -3.4042036095e+01    1.4156518539e+01    2.2828883013e+01    1.2053075198e+01   -7.1812829507e+01    2.8888352007e+00    1.0240000000e+03    3.7083514035e-02    4.3701171875e-01
         8   -1.9892201206e+01    3.9598080629e+02   -3.4086814273e+01    1.4194613067e+01    2.2856310309e+01    1.2053075198e+01   -7.1755391134e+01    2.7591913539e+00    1.0240000000e+03    3.7001572549e-02    4.3828125000e-01
         9   -1.9897018640e+01    3.9621755444e+02   -3.4282959022e+01    1.4385940382e+01    2.2896998429e+01    1.2053075198e+01   -7.1814686798e+01    2.5816541492e+00    1.0240000000e+03    3.7078045309e-02    4.3873046875e-01
        10   -1.9896088171e+01    3.9614669223e+02   -3.3997090072e+01    1.4101001901e+01    2.2875529034e+01    1.2053075198e+01   -7.1981760247e+01    3.0560659428e+00    1.0240000000e+03    3.6960817873e-02    4.3661132813e-01
        11   -1.9855359578e+01    3.9465842616e+02   -3.4309579771e+01    1.4454220193e+01    2.3099845043e+01    1.2053075198e+01   -7.2505662356e+01    3.0431623440e+00    1.0240000000e+03    3.7006169558e-02    4.3536132813e-01
        12   -1.9882336963e+01    3.9562391920e+02   -3.4144975403e+01    1.4262638440e+01    2.2918897826e+01    1.2053075198e+01   -7.1816208674e+01    2.6992602464e+00    1.0240000000e+03    3.6953225732e-02    4.3530273438e-01
        13   -1.9906500548e+01    3.9663150924e+02   -3.4543382875e+01    1.4636882327e+01    2.2808007583e+01    1.2053075198e+01   -7.2187085195e+01    2.7826195380e+00    1.0240000000e+03    3.6921977997e-02    4.3392578125e-01
        14   -1.9867831270e+01    3.9510999825e+02   -3.4403918414e+01    1.4536087144e+01    2.2935077946e+01    1.2053075198e+01   -7.2321092752e+01    2.9290211942e+00    1.0240000000e+03    3.7012442946e-02    4.3656250000e-01
        15   -1.9882050760e+01    3.9569887984e+02   -3.4274935707e+01    1.4392884947e+01    2.2920450845e+01    1.2053075198e+01   -7.2087134157e+01    2.8386724067e+00    1.0240000000e+03    3.7046238780e-02    4.3988281250e-01
