#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9814007610e+01    3.9298819138e+02   -3.4248344849e+01    1.4434337238e+01    2.3144075878e+01    1.2053075198e+01   -7.2232392793e+01    2.7868968679e+00    3.2000000000e+02    1.1742644012e-02    4.3525000000e-01
         1   -1.9898981605e+01    3.9631267781e+02   -3.4420209061e+01    1.4521227457e+01    2.2768802358e+01    1.2053075198e+01   -7.1365035579e+01    2.1229489618e+00    3.2000000000e+02    1.1693917215e-02    4.3950000000e-01
         2   -1.9911649862e+01    3.9677172251e+02   -3.4525339497e+01    1.4613689636e+01    2.2944013276e+01    1.2053075198e+01   -7.2033489606e+01    2.5110616348e+00    3.2000000000e+02    1.1721752584e-02    4.3231250000e-01
         3   -1.9915733003e+01    3.9691170132e+02   -3.3643144317e+01    1.3727411315e+01    2.2772673129e+01    1.2053075198e+01   -7.1117559578e+01    2.6486669327e+00    3.2000000000e+02    1.1709958315e-02    4.4503125000e-01
         4   -1.9902757034e+01    3.9645225259e+02   -3.4050246019e+01    1.4147488984e+01    2.2868034362e+01    1.2053075198e+01   -7.2011560740e+01    3.0402051611e+00    3.2000000000e+02    1.1726006866e-02    4.3700000000e-01
         5   -1.9856124893e+01    3.9454224925e+02   -3.3665409963e+01    1.3809285070e+01    2.2818815605e+01    1.2053075198e+01   -7.1089785016e+01    2.5524842495e+00    3.2000000000e+02    1.1718280613e-02    4.3487500000e-01
         6   -1.9873511762e+01    3.9529089444e+02   -3.4092896308e+01    1.4219384546e+01    2.3094722702e+01    1.2053075198e+01   -7.2360709807e+01    3.1200155990e+00    3.2000000000e+02    1.1673159897e-02    4.3484375000e-01
         7   -1.9902942986e+01    3.9650700690e+02   -3.4331103457e+01    1.4428160471e+01    2.2967112496e+01    1.2053075198e+01   -7.2462025673e+01    3.1107345214e+00    3.2000000000e+02    1.1771909893e-02    4.4537500000e-01
         8   -1.9889883889e+01    3.9592599027e+02   -3.3961029205e+01    1.4071145317e+01    2.2722450737e+01    1.2053075198e+01   -7.1454267621e+01    2.7177124805e+00    3.2000000000e+02    1.1716194451e-02    4.3709375000e-01
         9   -1.9902265158e+01    3.9634308392e+02   -3.3208717629e+01    1.3306452471e+01    2.2606389953e+01    1.2053075198e+01   -7.0539499926e+01    2.6713171456e+00    3.2000000000e+02    1.1638626456e-02    4.4128125000e-01
        10   -1.9835361948e+01    3.9379701625e+02   -3.4390641015e+01    1.4555279067e+01    2.2864194380e+01    1.2053075198e+01   -7.2028445149e+01    2.7205345561e+00    3.2000000000e+02    1.1699207127e-02    4.3640625000e-01
