#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9888020502e+01    3.9588538376e+02   -3.4211157374e+01    1.4323136872e+01    2.2789363742e+01    1.2053075198e+01   -7.1965413321e+01    2.9118170070e+00    1.0240000000e+03    3.7368007004e-02    4.4027343750e-01
         1   -1.9913877287e+01    3.9695770276e+02   -3.4075275392e+01    1.4161398105e+01    2.3011430665e+01    1.2053075198e+01   -7.1813097476e+01    2.6733162205e+00    1.0240000000e+03    3.7380710244e-02    4.3915039062e-01
         2   -1.9840601447e+01    3.9397931187e+02   -3.4232908661e+01    1.4392307214e+01    2.2953287402e+01    1.2053075198e+01   -7.2068281045e+01    2.8290097839e+00    1.0240000000e+03    3.7345007062e-02    4.3485351562e-01
         3   -1.9898883450e+01    3.9637513438e+02   -3.4057485279e+01    1.4158601829e+01    2.2796022693e+01    1.2053075198e+01   -7.1547234450e+01    2.6406512804e+00    1.0240000000e+03    3.7225805223e-02    4.3552734375e-01
         4   -1.9862398464e+01    3.9480959460e+02   -3.4165361805e+01    1.4302963341e+01    2.2845821575e+01    1.2053075198e+01   -7.1867449189e+01    2.8031906099e+00    1.0240000000e+03    3.7306293845e-02    4.3739257812e-01
         5   -1.9875132080e+01    3.9536296994e+02   -3.4143196043e+01    1.4268063962e+01    2.2946457994e+01    1.2053075198e+01   -7.1816028166e+01    2.6732989309e+00    1.0240000000e+03    3.7391185760e-02    4.4047851563e-01
         6   -1.9875809113e+01    3.9534628126e+02   -3.3994313500e+01    1.4118504387e+01    2.2976229523e+01    1.2053075198e+01   -7.1961561076e+01    2.9379428552e+00    1.0240000000e+03    3.7404194474e-02    4.3829101562e-01
         7   -1.9881870491e+01    3.9561107956e+02   -3.3952023363e+01    1.4070152872e+01    2.2943717102e+01    1.2053075198e+01   -7.1949037268e+01    3.0002216043e+00    1.0240000000e+03    3.7356138229e-02    4.3788085937e-01
         8   -1.9849697273e+01    3.9429518466e+02   -3.4403850025e+01    1.4554152752e+01    2.3012351020e+01    1.2053075198e+01   -7.2374944223e+01    2.9056679795e+00    1.0240000000e+03    3.7290811539e-02    4.3870117188e-01
         9   -1.9895196272e+01    3.9616181922e+02   -3.4188550155e+01    1.4293353883e+01    2.2872073024e+01    1.2053075198e+01   -7.1757105560e+01    2.6434071833e+00    1.0240000000e+03    3.7328481674e-02    4.4032226562e-01
