#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9898910265e+01    3.9631576534e+02   -3.4677365708e+01    1.4778455443e+01    2.3099544885e+01    1.2053075198e+01   -7.2677056116e+01    2.8470703246e+00    3.2000000000e+03    3.6994233727e-02    4.2871875000e-01
         1   -1.9876436962e+01    3.9540008253e+02   -3.4283890125e+01    1.4407453163e+01    2.2998330953e+01    1.2053075198e+01   -7.2106075217e+01    2.7707789419e+00    3.2000000000e+03    3.6813162267e-02    4.3578125000e-01
         2   -1.9856627846e+01    3.9458954560e+02   -3.3843750436e+01    1.3987122590e+01    2.2834325103e+01    1.2053075198e+01   -7.1254577978e+01    2.5234272411e+00    3.2000000000e+03    3.6466486752e-02    4.3503125000e-01
         3   -1.9861922947e+01    3.9483760454e+02   -3.4085737987e+01    1.4223815040e+01    2.2858711312e+01    1.2053075198e+01   -7.1911915099e+01    2.9143906014e+00    3.2000000000e+03    3.6515995860e-02    4.3825000000e-01
         4   -1.9892690915e+01    3.9608887279e+02   -3.3800961431e+01    1.3908270516e+01    2.3016368094e+01    1.2053075198e+01   -7.1720755235e+01    2.8503505108e+00    3.2000000000e+03    3.6792032421e-02    4.3496875000e-01
         5   -1.9897318215e+01    3.9624288508e+02   -3.4148809551e+01    1.4251491337e+01    2.2798430794e+01    1.2053075198e+01   -7.1732562129e+01    2.7322465857e+00    3.2000000000e+03    3.6231011152e-02    4.4159375000e-01
         6   -1.9862413626e+01    3.9486312965e+02   -3.4539519004e+01    1.4677105378e+01    2.2894619071e+01    1.2053075198e+01   -7.2238710175e+01    2.7514969018e+00    3.2000000000e+03    3.6557786167e-02    4.3093750000e-01
         7   -1.9855533117e+01    3.9461841764e+02   -3.4480035760e+01    1.4624502643e+01    2.3054240778e+01    1.2053075198e+01   -7.2381850677e+01    2.7944989410e+00    3.2000000000e+03    3.6608718336e-02    4.3615625000e-01
         8   -1.9909344688e+01    3.9673536574e+02   -3.3956389907e+01    1.4047045219e+01    2.2767027396e+01    1.2053075198e+01   -7.1408130576e+01    2.6316380748e+00    3.2000000000e+03    3.6243245006e-02    4.3475000000e-01
         9   -1.9874679809e+01    3.9537061146e+02   -3.4043379724e+01    1.4168699914e+01    2.2851432767e+01    1.2053075198e+01   -7.1914957144e+01    2.9670694553e+00    3.2000000000e+03    3.6493763328e-02    4.3518750000e-01
        10   -1.9867887898e+01    3.9508410899e+02   -3.4312745422e+01    1.4444857524e+01    2.2924997665e+01    1.2053075198e+01   -7.2021404610e+01    2.7305863246e+00    3.2000000000e+03    3.6454878747e-02    4.3490625000e-01
        11   -1.9857426896e+01    3.9468541373e+02   -3.4242565330e+01    1.4385138434e+01    2.2867532082e+01    1.2053075198e+01   -7.2157505521e+01    2.9943329108e+00    3.2000000000e+03    3.6346815526e-02    4.3940625000e-01
        12   -1.9854591188e+01    3.9457343809e+02   -3.4152878176e+01    1.4298286988e+01    2.3021368727e+01    1.2053075198e+01   -7.1964210878e+01    2.7368887763e+00    3.2000000000e+03    3.6603942513e-02    4.3171875000e-01
        13   -1.9870589602e+01    3.9517004700e+02   -3.4026846906e+01    1.4156257304e+01    2.2870605502e+01    1.2053075198e+01   -7.1691096944e+01    2.7405693379e+00    3.2000000000e+03    3.6502406001e-02    4.3471875000e-01
        14   -1.9901899625e+01    3.9644857729e+02   -3.4217155527e+01    1.4315255902e+01    2.2845554845e+01    1.2053075198e+01   -7.1681476203e+01    2.5656906334e+00    3.2000000000e+03    3.6562927067e-02    4.3412500000e-01
        15   -1.9886622713e+01    3.9586174934e+02   -3.4417207616e+01    1.4530584903e+01    2.2804293385e+01    1.2053075198e+01   -7.1911794534e+01    2.6372183349e+00    3.2000000000e+03    3.6352239549e-02    4.3668750000e-01
        16   -1.9892312587e+01    3.9613742691e+02   -3.4033490836e+01    1.4141178249e+01    2.2806258856e+01    1.2053075198e+01   -7.1703310621e+01    2.8104857311e+00    3.2000000000e+03    3.6405757070e-02    4.4137500000e-01
        17   -1.9898672930e+01    3.9627240806e+02   -3.3734829490e+01    1.3836156561e+01    2.2809713254e+01    1.2053075198e+01   -7.1104928219e+01    2.5073102759e+00    3.2000000000e+03    3.6640331149e-02    4.3859375000e-01
        18   -1.9872267842e+01    3.9527723254e+02   -3.3794898110e+01    1.3922630268e+01    2.2917085744e+01    1.2053075198e+01   -7.1616635431e+01    2.8515763787e+00    3.2000000000e+03    3.6494299769e-02    4.3181250000e-01
        19   -1.9899684718e+01    3.9629312576e+02   -3.4347592972e+01    1.4447908254e+01    2.2926717754e+01    1.2053075198e+01   -7.2261424458e+01    2.9340385339e+00    3.2000000000e+03    3.6549299955e-02    4.3596875000e-01
        20   -1.9845523451e+01    3.9413780533e+02   -3.3870524856e+01    1.4025001405e+01    2.2888601541e+01    1.2053075198e+01   -7.1448509668e+01    2.6363080735e+00    3.2000000000e+03    3.6411575973e-02    4.3693750000e-01
        21   -1.9875303645e+01    3.9538368181e+02   -3.4192311746e+01    1.4317008101e+01    2.2932873038e+01    1.2053075198e+01   -7.1833119773e+01    2.6548597911e+00    3.2000000000e+03    3.6363214254e-02    4.4015625000e-01
        22   -1.9880417112e+01    3.9558442969e+02   -3.3983201672e+01    1.4102784560e+01    2.2849106158e+01    1.2053075198e+01   -7.1765029784e+01    2.8796467557e+00    3.2000000000e+03    3.6370448768e-02    4.3734375000e-01
        23   -1.9888743059e+01    3.9592562365e+02   -3.3959105325e+01    1.4070362267e+01    2.2855270577e+01    1.2053075198e+01   -7.1614812730e+01    2.7473616296e+00    3.2000000000e+03    3.6565884948e-02    4.3625000000e-01
        24   -1.9887348237e+01    3.9590863537e+02   -3.4513384109e+01    1.4626035872e+01    2.2958744026e+01    1.2053075198e+01   -7.2405146913e+01    2.8799435788e+00    3.2000000000e+03    3.6573730409e-02    4.3478125000e-01
        25   -1.9904120569e+01    3.9646294424e+02   -3.4335947764e+01    1.4431827195e+01    2.2953778642e+01    1.2053075198e+01   -7.2187699775e+01    2.8448981711e+00    3.2000000000e+03    3.6616444588e-02    4.3840625000e-01
        26   -1.9878602982e+01    3.9550103489e+02   -3.3951915578e+01    1.4073312596e+01    2.2936358393e+01    1.2053075198e+01   -7.1713386993e+01    2.7720378232e+00    3.2000000000e+03    3.6457397044e-02    4.3790625000e-01
        27   -1.9876633601e+01    3.9538696920e+02   -3.4761780003e+01    1.4885146402e+01    2.2955351192e+01    1.2053075198e+01   -7.2655751480e+01    2.8855450868e+00    3.2000000000e+03    3.6360181868e-02    4.2993750000e-01
        28   -1.9887998185e+01    3.9590277340e+02   -3.3412154973e+01    1.3524156788e+01    2.2655414734e+01    1.2053075198e+01   -7.0626554719e+01    2.5059098140e+00    3.2000000000e+03    3.6318823695e-02    4.4603125000e-01
        29   -1.9890968869e+01    3.9603482580e+02   -3.4234764052e+01    1.4343795183e+01    2.2914106881e+01    1.2053075198e+01   -7.1887259414e+01    2.6853132839e+00    3.2000000000e+03    3.6664664745e-02    4.3606250000e-01
        30   -1.9895975847e+01    3.9615388031e+02   -3.3985662118e+01    1.4089686271e+01    2.2814886371e+01    1.2053075198e+01   -7.1574231023e+01    2.7206073345e+00    3.2000000000e+03    3.6499135196e-02    4.3237500000e-01
        31   -1.9873107388e+01    3.9527759209e+02   -3.4156108741e+01    1.4283001353e+01    2.2886731738e+01    1.2053075198e+01   -7.1817379083e+01    2.7214634060e+00    3.2000000000e+03    3.6556527019e-02    4.3556250000e-01
