#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9878041509e+01    3.9542694922e+02   -3.4051972642e+01    1.4173931133e+01    2.2886335878e+01    1.2053075198e+01   -7.1864221251e+01    2.8728375335e+00    1.0240000000e+03    3.7201829255e-02    4.3424804688e-01
         1   -1.9866011992e+01    3.9503635641e+02   -3.3840079455e+01    1.3974067463e+01    2.2944809464e+01    1.2053075198e+01   -7.1976295138e+01    3.1383310211e+00    1.0240000000e+03    3.7112668157e-02    4.3722656250e-01
         2   -1.9876956393e+01    3.9537269510e+02   -3.4414640963e+01    1.4537684571e+01    2.2864263714e+01    1.2053075198e+01   -7.2364907481e+01    3.0329276057e+00    1.0240000000e+03    3.7106253207e-02    4.3752929688e-01
         3   -1.9857543040e+01    3.9487274489e+02   -3.4322732218e+01    1.4465189178e+01    2.2812751518e+01    1.2053075198e+01   -7.1992256504e+01    2.8036975695e+00    1.0240000000e+03    3.7133194506e-02    4.3836914062e-01
         4   -1.9885871340e+01    3.9576316819e+02   -3.4586406294e+01    1.4700534954e+01    2.2883865689e+01    1.2053075198e+01   -7.2323496515e+01    2.8001493342e+00    1.0240000000e+03    3.7184856832e-02    4.3624023438e-01
         5   -1.9861825903e+01    3.9480797279e+02   -3.4451112646e+01    1.4589286743e+01    2.2850558277e+01    1.2053075198e+01   -7.2413461673e+01    3.0587155514e+00    1.0240000000e+03    3.7188701332e-02    4.3601562500e-01
         6   -1.9853128634e+01    3.9459209462e+02   -3.4067750640e+01    1.4214622005e+01    2.2987815810e+01    1.2053075198e+01   -7.2000123992e+01    2.8914823439e+00    1.0240000000e+03    3.7163652480e-02    4.3861328125e-01
         7   -1.9865862186e+01    3.9494802826e+02   -3.4148074440e+01    1.4282212254e+01    2.2766008759e+01    1.2053075198e+01   -7.1490970107e+01    2.5238117097e+00    1.0240000000e+03    3.7072509527e-02    4.3750000000e-01
         8   -1.9880290202e+01    3.9565468425e+02   -3.4232609385e+01    1.4352319182e+01    2.2904572879e+01    1.2053075198e+01   -7.2043922966e+01    2.8536655045e+00    1.0240000000e+03    3.7147469819e-02    4.3664062500e-01
         9   -1.9837147966e+01    3.9390239595e+02   -3.3906130862e+01    1.4068982896e+01    2.2828249011e+01    1.2053075198e+01   -7.1642315207e+01    2.8548601357e+00    1.0240000000e+03    3.7195779383e-02    4.3805664063e-01
        10   -1.9869922233e+01    3.9519350953e+02   -3.4279770159e+01    1.4409847926e+01    2.2876879712e+01    1.2053075198e+01   -7.2143777945e+01    2.9340528763e+00    1.0240000000e+03    3.7149794400e-02    4.3366210938e-01
        11   -1.9897361828e+01    3.9615680329e+02   -3.3850263733e+01    1.3952901904e+01    2.2731019960e+01    1.2053075198e+01   -7.1678553567e+01    3.0441946755e+00    1.0240000000e+03    3.7004359066e-02    4.3682617188e-01
        12   -1.9903791365e+01    3.9651393998e+02   -3.4195361211e+01    1.4291569846e+01    2.2834520451e+01    1.2053075198e+01   -7.1672146190e+01    2.5891893301e+00    1.0240000000e+03    3.7119016051e-02    4.3805664062e-01
        13   -1.9882316116e+01    3.9561413766e+02   -3.3688802147e+01    1.3806486032e+01    2.2893753349e+01    1.2053075198e+01   -7.1618813500e+01    2.9831828047e+00    1.0240000000e+03    3.7152931094e-02    4.3663085938e-01
        14   -1.9893023273e+01    3.9613028858e+02   -3.3874803042e+01    1.3981779769e+01    2.2785336611e+01    1.2053075198e+01   -7.1324520714e+01    2.6113058630e+00    1.0240000000e+03    3.7095658481e-02    4.3674804688e-01
        15   -1.9903868706e+01    3.9647118806e+02   -3.4391509498e+01    1.4487640792e+01    2.3001924290e+01    1.2053075198e+01   -7.2373798170e+01    2.9272891827e+00    1.0240000000e+03    3.7305563688e-02    4.3540039062e-01
        16   -1.9898094038e+01    3.9627398640e+02   -3.4213533217e+01    1.4315439179e+01    2.2850610112e+01    1.2053075198e+01   -7.2160588464e+01    3.0433699362e+00    1.0240000000e+03    3.7195689976e-02    4.3665039062e-01
        17   -1.9883407904e+01    3.9565664306e+02   -3.4194689929e+01    1.4311282025e+01    2.2857349678e+01    1.2053075198e+01   -7.2112780172e+01    3.0076653664e+00    1.0240000000e+03    3.7209160626e-02    4.3557617188e-01
        18   -1.9879081009e+01    3.9553093368e+02   -3.4170840657e+01    1.4291759647e+01    2.2886276245e+01    1.2053075198e+01   -7.1803504157e+01    2.6933120577e+00    1.0240000000e+03    3.7154868245e-02    4.3753906250e-01
        19   -1.9885816214e+01    3.9575174324e+02   -3.4261312597e+01    1.4375496383e+01    2.2884571540e+01    1.2053075198e+01   -7.2034609792e+01    2.8356504568e+00    1.0240000000e+03    3.7207931280e-02    4.3842773438e-01
        20   -1.9885116207e+01    3.9574193061e+02   -3.4396225308e+01    1.4511109101e+01    2.2987581016e+01    1.2053075198e+01   -7.2220671641e+01    2.7837901193e+00    1.0240000000e+03    3.7210747600e-02    4.3254882813e-01
        21   -1.9882149003e+01    3.9562067586e+02   -3.3849427868e+01    1.3967278865e+01    2.2836312398e+01    1.2053075198e+01   -7.1668659122e+01    2.9298436578e+00    1.0240000000e+03    3.7141934037e-02    4.3502929688e-01
        22   -1.9883082567e+01    3.9561525273e+02   -3.3896267126e+01    1.4013184559e+01    2.2815953343e+01    1.2053075198e+01   -7.1184999095e+01    2.4197034278e+00    1.0240000000e+03    3.7195213139e-02    4.3984375000e-01
        23   -1.9859761129e+01    3.9470989419e+02   -3.4250969897e+01    1.4391208769e+01    2.3084110656e+01    1.2053075198e+01   -7.2165873325e+01    2.7777175733e+00    1.0240000000e+03    3.7193454802e-02    4.3781250000e-01
        24   -1.9870677834e+01    3.9527309988e+02   -3.4262245002e+01    1.4391567168e+01    2.2931053541e+01    1.2053075198e+01   -7.2067204083e+01    2.8208303425e+00    1.0240000000e+03    3.7144608796e-02    4.3591796875e-01
        25   -1.9899637628e+01    3.9630767880e+02   -3.3919617783e+01    1.4019980156e+01    2.2754401669e+01    1.2053075198e+01   -7.1443330558e+01    2.7162359074e+00    1.0240000000e+03    3.7080645561e-02    4.3743164063e-01
        26   -1.9912743601e+01    3.9687567397e+02   -3.4408145156e+01    1.4495401555e+01    2.2999818984e+01    1.2053075198e+01   -7.2464429970e+01    3.0033906320e+00    1.0240000000e+03    3.7223704159e-02    4.3489257812e-01
        27   -1.9907717758e+01    3.9668093695e+02   -3.4043731900e+01    1.4136014141e+01    2.2851734821e+01    1.2053075198e+01   -7.1690134693e+01    2.7415927751e+00    1.0240000000e+03    3.7158757448e-02    4.3690429687e-01
        28   -1.9867588149e+01    3.9499145504e+02   -3.4002150973e+01    1.4134562824e+01    2.2807160475e+01    1.2053075198e+01   -7.1498902206e+01    2.6365155594e+00    1.0240000000e+03    3.7178382277e-02    4.3789062500e-01
        29   -1.9882619690e+01    3.9566212219e+02   -3.4056744315e+01    1.4174124625e+01    2.2967430737e+01    1.2053075198e+01   -7.1731658026e+01    2.6544077751e+00    1.0240000000e+03    3.7194058299e-02    4.3728515625e-01
        30   -1.9875931568e+01    3.9535608853e+02   -3.3867531994e+01    1.3991600426e+01    2.2943568367e+01    1.2053075198e+01   -7.1846936498e+01    2.9827609388e+00    1.0240000000e+03    3.7273950875e-02    4.3337890625e-01
        31   -1.9895096479e+01    3.9615297128e+02   -3.3961962874e+01    1.4066866395e+01    2.2911220368e+01    1.2053075198e+01   -7.1670648720e+01    2.7443902795e+00    1.0240000000e+03    3.7213131785e-02    4.3656250000e-01
