#   index    LocalEnergy         LocalEnergy_sq      LocalPotential      Kinetic             ElecElec            Coulomb             LocalECP            NonLocalECP         BlockWeight         BlockCPU            AcceptRatio         
         0   -1.9841239458e+01    3.9402453287e+02   -3.3791663083e+01    1.3950423626e+01    2.2758172273e+01    1.2053075198e+01   -7.1647653651e+01    3.0447430963e+00    3.2000000000e+02    1.1720888317e-02    4.4525000000e-01
         1   -1.9942332517e+01    3.9803820954e+02   -3.3691198490e+01    1.3748865973e+01    2.2854904040e+01    1.2053075198e+01   -7.1960783178e+01    3.3616054493e+00    3.2000000000e+02    1.1685416102e-02    4.3415625000e-01
         2   -1.9891491901e+01    3.9595946101e+02   -3.3554136394e+01    1.3662644493e+01    2.2753037708e+01    1.2053075198e+01   -7.1329398957e+01    2.9691496567e+00    3.2000000000e+02    1.1696331203e-02    4.4262500000e-01
         3   -1.9879569184e+01    3.9551621245e+02   -3.4437294130e+01    1.4557724946e+01    2.3116107208e+01    1.2053075198e+01   -7.2846968423e+01    3.2404918869e+00    3.2000000000e+02    1.1729635298e-02    4.3675000000e-01
         4   -1.9851566012e+01    3.9436120056e+02   -3.3973165391e+01    1.4121599379e+01    2.2856280395e+01    1.2053075198e+01   -7.1911860146e+01    3.0293391623e+00    3.2000000000e+02    1.1688180268e-02    4.3853125000e-01
         5   -1.9937555871e+01    3.9793827168e+02   -3.4769204670e+01    1.4831648799e+01    2.2899762451e+01    1.2053075198e+01   -7.2148710734e+01    2.4266684147e+00    3.2000000000e+02    1.1750437319e-02    4.3293750000e-01
         6   -1.9858125954e+01    3.9468378232e+02   -3.4430473400e+01    1.4572347445e+01    2.3044871908e+01    1.2053075198e+01   -7.2561411029e+01    3.0329905233e+00    3.2000000000e+02    1.1758744717e-02    4.3415625000e-01
         7   -1.9904432933e+01    3.9647988775e+02   -3.4351882283e+01    1.4447449351e+01    2.3177998112e+01    1.2053075198e+01   -7.2240073707e+01    2.6571181130e+00    3.2000000000e+02    1.1753417552e-02    4.3821875000e-01
         8   -1.9914224986e+01    3.9754680958e+02   -3.4498019463e+01    1.4583794477e+01    2.2745870358e+01    1.2053075198e+01   -7.1698681353e+01    2.4017163335e+00    3.2000000000e+02    1.1722579598e-02    4.4184375000e-01
         9   -1.9867050209e+01    3.9498351694e+02   -3.4194680016e+01    1.4327629808e+01    2.2828705139e+01    1.2053075198e+01   -7.1872151037e+01    2.7956906836e+00    3.2000000000e+02    1.1708766222e-02    4.3778125000e-01
        10   -1.9885492184e+01    3.9570698218e+02   -3.4176152383e+01    1.4290660198e+01    2.2868772127e+01    1.2053075198e+01   -7.2167217886e+01    3.0692181783e+00    3.2000000000e+02    1.1693701148e-02    4.3500000000e-01
        11   -1.9882586299e+01    3.9561603998e+02   -3.4213756998e+01    1.4331170698e+01    2.2756239858e+01    1.2053075198e+01   -7.1985638391e+01    2.9625663373e+00    3.2000000000e+02    1.1681802571e-02    4.3993750000e-01
        12   -1.9947154191e+01    3.9828550987e+02   -3.4560501228e+01    1.4613347037e+01    2.3038999226e+01    1.2053075198e+01   -7.1967799883e+01    2.3152242305e+00    3.2000000000e+02    1.1685281992e-02    4.3784375000e-01
        13   -1.9881074036e+01    3.9564395101e+02   -3.4306677871e+01    1.4425603835e+01    2.2709687451e+01    1.2053075198e+01   -7.1887409220e+01    2.8179686996e+00    3.2000000000e+02    1.1671632528e-02    4.4021875000e-01
        14   -1.9876476042e+01    3.9548411248e+02   -3.4441495627e+01    1.4565019585e+01    2.3018511212e+01    1.2053075198e+01   -7.2112712667e+01    2.5996306304e+00    3.2000000000e+02    1.1738218367e-02    4.3756250000e-01
        15   -1.9877066872e+01    3.9546732235e+02   -3.3269813918e+01    1.3392747046e+01    2.2883080354e+01    1.2053075198e+01   -7.1266925234e+01    3.0609557639e+00    3.2000000000e+02    1.1736460030e-02    4.4240625000e-01
        16   -1.9846426436e+01    3.9426256847e+02   -3.4334141292e+01    1.4487714856e+01    2.3045768661e+01    1.2053075198e+01   -7.2006637960e+01    2.5736528100e+00    3.2000000000e+02    1.1747375131e-02    4.3665625000e-01
        17   -1.9879773296e+01    3.9549199407e+02   -3.3477470028e+01    1.3597696731e+01    2.2774356217e+01    1.2053075198e+01   -7.1190751130e+01    2.8858496877e+00    3.2000000000e+02    1.1694252491e-02    4.3875000000e-01
